# Weather station Los Angeles (airport), USA, WMO_ID=72295,selection from 29.11.2018 till 30.11.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=72295&lang=en
#
"Local time in Los Angeles (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"03.09.2019 16:00";"25.6";"754.0";"757.9";"";"69";"Wind blowing from the west";"6";"";"";"50%.";" ";"";"";"20.6";"28.9";"";"";"200-300";"";"";"16.0";"19.4";"";"";"";"";"";"";
"03.09.2019 10:00";"26.1";"756.3";"760.3";"";"67";"Wind blowing from the west-southwest";"4";"";"";"50%.";" ";"";"";"21.1";"26.7";"";"";"600-1000";"";"";"16.0";"19.4";"";"";"";"";"";"";
"03.09.2019 04:00";"21.1";"755.5";"759.4";"";"90";"Calm, no wind";"0";"";"";"70 – 80%.";"Mist. ";"";"";"20.6";"33.9";"";"";"50-100";"";"";"2.0";"19.4";"";"";"";"";"";"";
"02.09.2019 22:00";"22.2";"756.3";"760.2";"";"84";"Wind blowing from the west-southwest";"2";"";"";"50%.";"Mist. ";"";"";"20.6";"26.7";"";"";"100-200";"";"";"6.0";"19.4";"";"";"";"";"";"";
"02.09.2019 16:00";"26.7";"755.3";"759.2";"";"64";"Wind blowing from the west-southwest";"5";"";"";"50%.";" ";"";"";"20.6";"33.9";"";"";"200-300";"";"";"16.0";"19.4";"";"";"";"";"";"";
"02.09.2019 10:00";"28.3";"756.8";"760.7";"";"59";"";"2";"";"";"50%.";" ";"";"";"21.1";"28.3";"";"";"200-300";"";"";"12.0";"19.4";"";"";"";"";"";"";
"02.09.2019 04:00";"21.1";"755.8";"759.7";"";"84";"Wind blowing from the south-east";"2";"";"";"50%.";" ";"";"";"20.6";"25.6";"";"";"200-300";"";"";"16.0";"18.3";"";"";"";"";"";"";
"01.09.2019 22:00";"22.2";"755.3";"759.3";"";"79";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"20.6";"23.3";"";"";"200-300";"";"";"16.0";"18.3";"";"";"";"";"";"";
"01.09.2019 16:00";"23.3";"753.7";"757.9";"";"74";"Wind blowing from the west";"5";"";"";"50%.";" ";"";"";"20.6";"25.6";"";"";"200-300";"";"";"16.0";"18.3";"";"";"";"";"";"";
"01.09.2019 10:00";"24.4";"755.5";"759.4";"";"72";"Wind blowing from the west";"4";"";"";"50%.";"Haze. ";"";"";"20.0";"25.6";"";"";"100-200";"";"";"9.0";"18.9";"";"";"";"";"";"";
"01.09.2019 04:00";"20.6";"754.8";"758.6";"";"87";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"20.6";"26.7";"";"";"200-300";"";"";"14.0";"18.3";"";"";"";"";"";"";
"31.08.2019 22:00";"21.7";"754.8";"758.7";"";"79";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"20.6";"26.1";"";"";"200-300";"";"";"16.0";"17.8";"";"";"";"";"";"";
"31.08.2019 16:00";"25.0";"753.7";"757.6";"";"64";"Wind blowing from the west-southwest";"7";"";"";"20–30%.";" ";"";"";"20.6";"26.7";"";"";"200-300";"";"";"16.0";"17.8";"";"";"";"";"";"";
"31.08.2019 10:00";"26.1";"756.3";"760.2";"";"65";"Wind blowing from the west";"5";"";"";"20–30%.";" ";"";"";"20.6";"26.1";"";"";"200-300";"";"";"16.0";"18.9";"";"";"";"";"";"";
"31.08.2019 04:00";"21.1";"755.0";"759.0";"";"87";"Wind blowing from the south-west";"2";"";"";"20–30%.";" ";"";"";"21.1";"27.8";"";"";"200-300";"";"";"16.0";"18.9";"";"";"";"";"";"";
"30.08.2019 22:00";"22.2";"756.1";"760.0";"";"79";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"21.7";"25.6";"";"";"300-600";"";"";"16.0";"18.3";"";"";"";"";"";"";
"30.08.2019 16:00";"25.6";"755.0";"759.0";"";"60";"Wind blowing from the west-southwest";"7";"";"";"no clouds";" ";"";"";"21.7";"27.8";"";"";"";"";"";"16.0";"17.2";"";"";"";"";"";"";
"30.08.2019 10:00";"27.2";"756.8";"760.8";"";"61";"Wind blowing from the west";"5";"";"";"no clouds";" ";"";"";"21.1";"27.2";"";"";"";"";"";"16.0";"18.9";"";"";"";"";"";"";
"30.08.2019 04:00";"21.7";"756.1";"760.0";"";"76";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"21.7";"26.7";"";"";"";"";"";"16.0";"17.2";"";"";"";"";"";"";
"29.08.2019 22:00";"23.3";"756.1";"759.9";"";"69";"Wind blowing from the south-west";"5";"";"";"no clouds";" ";"";"";"20.6";"25.6";"";"";"";"";"";"16.0";"17.2";"";"";"";"";"";"";
"29.08.2019 16:00";"25.6";"755.8";"759.7";"";"64";"Wind blowing from the west";"7";"";"";"no clouds";" ";"";"";"20.6";"26.7";"";"";"";"";"";"16.0";"18.3";"";"";"";"";"";"";
"29.08.2019 10:00";"24.4";"758.1";"762.1";"";"69";"Wind blowing from the west";"4";"";"";"20–30%.";" ";"";"";"20.6";"25.0";"";"";"300-600";"";"";"14.0";"18.3";"";"";"";"";"";"";
"29.08.2019 04:00";"20.6";"756.6";"760.4";"";"84";"Wind blowing from the west";"3";"";"";"20–30%.";" ";"";"";"20.6";"26.7";"";"";"200-300";"";"";"16.0";"17.8";"";"";"";"";"";"";
"28.08.2019 22:00";"21.1";"756.3";"760.2";"";"82";"Wind blowing from the west-southwest";"4";"";"";"20–30%.";" ";"";"";"21.1";"24.4";"";"";"200-300";"";"";"16.0";"17.8";"";"";"";"";"";"";
"28.08.2019 16:00";"24.4";"755.8";"759.9";"";"67";"Wind blowing from the west";"5";"";"";"20–30%.";" ";"";"";"21.1";"26.7";"";"";"300-600";"";"";"16.0";"17.8";"";"";"";"";"";"";
"28.08.2019 10:00";"25.0";"757.3";"761.3";"";"64";"Wind blowing from the west";"5";"";"";"50%.";" ";"";"";"21.7";"26.1";"";"";"300-600";"";"";"14.0";"17.8";"";"";"";"";"";"";
"28.08.2019 04:00";"22.2";"754.8";"758.6";"";"76";"Wind blowing from the south-east";"2";"";"";"100%.";" ";"";"";"21.1";"26.7";"";"";"300-600";"";"";"14.0";"17.8";"";"";"";"";"";"";
"27.08.2019 22:00";"21.1";"755.0";"758.8";"";"82";"Wind blowing from the west";"2";"";"";"70 – 80%.";" ";"";"";"21.1";"25.0";"";"";"300-600";"";"";"16.0";"17.8";"";"";"";"";"";"";
"27.08.2019 16:00";"25.0";"753.0";"757.0";"";"69";"Wind blowing from the west";"6";"";"";"20–30%.";" ";"";"";"21.1";"26.7";"";"";"300-600";"";"";"16.0";"18.9";"";"";"";"";"";"";
"27.08.2019 10:00";"26.7";"754.3";"758.3";"";"62";"Wind blowing from the west-southwest";"4";"";"";"20–30%.";" ";"";"";"21.1";"26.7";"";"";"300-600";"";"";"16.0";"18.9";"";"";"";"";"";"";
"27.08.2019 04:00";"21.1";"753.3";"757.1";"";"84";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"21.1";"29.4";"";"";"200-300";"";"";"16.0";"18.3";"";"";"";"";"";"";
"26.08.2019 22:00";"21.7";"754.0";"757.9";"";"76";"Wind blowing from the west-southwest";"3";"";"";"20–30%.";" ";"";"";"20.6";"25.0";"";"";"2500 or more, or no clouds.";"";"";"16.0";"17.2";"";"";"";"";"";"";
"26.08.2019 16:00";"25.0";"753.0";"757.0";"";"66";"Wind blowing from the west-southwest";"6";"";"";"50%.";" ";"";"";"20.6";"29.4";"";"";"300-600";"";"";"16.0";"18.3";"";"";"";"";"";"";
"26.08.2019 10:00";"28.3";"755.3";"759.3";"";"57";"Wind blowing from the west-southwest";"4";"";"";"50%.";" ";"";"";"21.1";"29.4";"";"";"600-1000";"";"";"16.0";"18.9";"";"";"";"";"";"";
"26.08.2019 04:00";"21.1";"754.3";"758.4";"";"87";"Wind blowing from the south-southwest";"2";"";"";"70 – 80%.";" ";"";"";"20.6";"26.7";"";"";"100-200";"";"";"16.0";"18.9";"";"";"";"";"";"";
"25.08.2019 22:00";"21.7";"756.1";"759.8";"";"76";"Wind blowing from the west-southwest";"3";"";"";"70 – 80%.";" ";"";"";"20.0";"24.4";"";"";"2500 or more, or no clouds.";"";"";"16.0";"17.2";"";"";"";"";"";"";
"25.08.2019 16:00";"24.4";"755.5";"759.7";"";"64";"Wind blowing from the south-west";"6";"";"";"20–30%.";" ";"";"";"20.0";"26.7";"";"";"2500 or more, or no clouds.";"";"";"16.0";"17.2";"";"";"";"";"";"";
"25.08.2019 10:00";"25.0";"757.3";"761.3";"";"66";"Wind blowing from the west-southwest";"3";"";"";"20–30%.";" ";"";"";"20.0";"25.0";"";"";"200-300";"";"";"16.0";"18.3";"";"";"";"";"";"";
"25.08.2019 04:00";"20.6";"756.8";"760.8";"";"84";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"20.0";"26.7";"";"";"200-300";"";"";"16.0";"17.8";"";"";"";"";"";"";
"24.08.2019 22:00";"21.1";"757.0";"761.0";"";"82";"Wind blowing from the west";"4";"";"";"100%.";" ";"";"";"20.0";"25.0";"";"";"200-300";"";"";"16.0";"17.8";"";"";"";"";"";"";
"24.08.2019 16:00";"24.4";"755.5";"759.5";"";"67";"Wind blowing from the west";"7";"";"";"20–30%.";" ";"";"";"20.0";"26.7";"";"";"300-600";"";"";"16.0";"17.8";"";"";"";"";"";"";
"24.08.2019 10:00";"25.6";"756.1";"760.1";"";"62";"Wind blowing from the west";"4";"";"";"no clouds";" ";"";"";"20.0";"26.1";"";"";"";"";"";"16.0";"17.8";"";"";"";"";"";"";
"24.08.2019 04:00";"20.0";"755.0";"758.9";"";"81";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"20.0";"28.3";"";"";"300-600";"";"";"16.0";"16.7";"";"";"";"";"";"";
"23.08.2019 22:00";"21.1";"754.8";"758.8";"";"82";"Wind blowing from the south-west";"2";"";"";"20–30%.";" ";"";"";"19.4";"25.0";"";"";"2500 or more, or no clouds.";"";"";"16.0";"17.8";"";"";"";"";"";"";
"23.08.2019 16:00";"25.0";"753.3";"757.2";"";"56";"Wind blowing from the west";"5";"";"";"20–30%.";" ";"";"";"19.4";"28.3";"";"";"2500 or more, or no clouds.";"";"";"16.0";"15.6";"";"";"";"";"";"";
"23.08.2019 10:00";"24.4";"755.3";"759.2";"";"56";"Wind blowing from the south-east";"3";"8";"";"50%.";" ";"";"";"20.6";"25.6";"";"";"600-1000";"";"";"14.0";"15.0";"";"";"";"";"";"";
"23.08.2019 04:00";"20.6";"753.5";"757.5";"";"73";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"19.4";"26.7";"";"";"300-600";"";"";"16.0";"15.6";"";"";"";"";"";"";
"22.08.2019 22:00";"20.6";"752.8";"756.5";"";"76";"Wind blowing from the south-east";"2";"";"";"50%.";" ";"";"";"19.4";"23.9";"";"";"300-600";"";"";"16.0";"16.1";"";"";"";"";"";"";
"22.08.2019 16:00";"23.9";"751.7";"755.8";"";"66";"Wind blowing from the west-southwest";"6";"";"";"20–30%.";" ";"";"";"19.4";"26.7";"";"";"2500 or more, or no clouds.";"";"";"16.0";"17.2";"";"";"";"";"";"";
"22.08.2019 10:00";"25.6";"753.0";"757.0";"";"60";"Wind blowing from the east-southeast";"3";"";"";"20–30%.";" ";"";"";"19.4";"25.6";"";"";"2500 or more, or no clouds.";"";"";"16.0";"17.2";"";"";"";"";"";"";
"22.08.2019 04:00";"19.4";"751.7";"755.7";"";"91";"Wind blowing from the south-southeast";"3";"";"";"70 – 80%.";"Mist. ";"";"";"19.4";"26.7";"";"";"200-300";"";"";"4.8";"17.8";"";"";"";"";"";"";
"21.08.2019 22:00";"21.7";"752.0";"755.8";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.4";"25.0";"";"";"";"";"";"16.0";"17.2";"";"";"";"";"";"";
"21.08.2019 16:00";"25.0";"752.0";"756.0";"";"64";"Wind blowing from the west";"6";"";"";"no clouds";" ";"";"";"19.4";"26.7";"";"";"";"";"";"16.0";"17.8";"";"";"";"";"";"";
"21.08.2019 10:00";"25.6";"754.6";"758.5";"";"62";"Wind blowing from the west";"5";"";"";"no clouds";" ";"";"";"18.9";"26.1";"";"";"";"";"";"14.0";"17.8";"";"";"";"";"";"";
"21.08.2019 04:00";"19.4";"753.7";"757.8";"";"79";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"19.4";"25.6";"";"";"300-600";"";"";"16.0";"15.6";"";"";"";"";"";"";
"20.08.2019 22:00";"21.1";"754.6";"758.5";"";"73";"";"2";"";"";"20–30%.";" ";"";"";"18.9";"23.9";"";"";"2500 or more, or no clouds.";"";"";"16.0";"16.1";"";"";"";"";"";"";
"20.08.2019 16:00";"23.9";"755.0";"758.9";"";"60";"Wind blowing from the west";"7";"";"";"no clouds";" ";"";"";"18.9";"25.6";"";"";"";"";"";"16.0";"15.6";"";"";"";"";"";"";
"20.08.2019 10:00";"25.0";"756.8";"760.8";"";"62";"Wind blowing from the west-southwest";"4";"";"";"no clouds";" ";"";"";"18.3";"25.6";"";"";"";"";"";"16.0";"17.2";"";"";"";"";"";"";
"20.08.2019 04:00";"18.9";"756.1";"760.0";"";"81";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"18.9";"25.0";"";"";"300-600";"";"";"16.0";"15.6";"";"";"";"";"";"";
"19.08.2019 22:00";"21.0";"755.5";"759.5";"";"73";"Wind blowing from the west-southwest";"2";"";"";"20–30%.";" ";"";"";"18.9";"22.8";"";"";"100-200";"";"";"16.0";"16.0";"";"";"";"";"";"";
"19.08.2019 16:00";"22.2";"755.5";"759.6";"";"68";"Wind blowing from the west";"7";"";"";"20–30%.";" ";"";"";"18.9";"25.0";"";"";"300-600";"";"";"16.0";"16.1";"";"";"";"";"";"";
"19.08.2019 10:00";"23.9";"757.3";"761.3";"";"62";"";"2";"";"";"50%.";" ";"";"";"19.4";"24.4";"";"";"600-1000";"";"";"12.0";"16.1";"";"";"";"";"";"";
"19.08.2019 04:00";"19.4";"756.3";"760.3";"";"79";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"18.9";"24.4";"";"";"300-600";"";"";"16.0";"15.6";"";"";"";"";"";"";
"18.08.2019 22:00";"19.4";"755.5";"759.6";"";"79";"Wind blowing from the west-southwest";"4";"";"";"20–30%.";" ";"";"";"19.4";"22.2";"";"";"300-600";"";"";"16.0";"15.6";"";"";"";"";"";"";
"18.08.2019 16:00";"22.2";"754.8";"758.8";"";"66";"Wind blowing from the west";"7";"9";"";"50%.";" ";"";"";"19.4";"24.4";"";"";"300-600";"";"";"16.0";"15.6";"";"";"";"";"";"";
"18.08.2019 10:00";"22.2";"756.6";"760.5";"";"64";"";"2";"";"";"70 – 80%.";" ";"";"";"20.0";"22.2";"";"";"600-1000";"";"";"16.0";"15.0";"";"";"";"";"";"";
"18.08.2019 04:00";"20.6";"754.6";"758.5";"";"70";"Wind blowing from the east";"2";"";"";"100%.";" ";"";"";"18.9";"24.4";"";"";"600-1000";"";"";"16.0";"15.0";"";"";"";"";"";"";
"17.08.2019 22:00";"19.4";"755.0";"758.8";"";"76";"Wind blowing from the west";"2";"";"";"70 – 80%.";" ";"";"";"18.3";"22.2";"";"";"300-600";"";"";"16.0";"15.0";"";"";"";"";"";"";
"17.08.2019 16:00";"21.7";"754.0";"758.1";"";"68";"Wind blowing from the west";"6";"";"";"50%.";" ";"";"";"18.3";"24.4";"";"";"300-600";"";"";"16.0";"15.6";"";"";"";"";"";"";
"17.08.2019 10:00";"22.8";"755.8";"759.9";"";"57";"Wind blowing from the south-east";"3";"";"";"50%.";" ";"";"";"18.9";"23.3";"";"";"600-1000";"";"";"16.0";"13.9";"";"";"";"";"";"";
"17.08.2019 04:00";"19.4";"755.3";"759.2";"";"68";"Wind blowing from the east-southeast";"2";"";"";"100%.";" ";"";"";"18.3";"23.9";"";"";"600-1000";"";"";"16.0";"13.3";"";"";"";"";"";"";
"16.08.2019 22:00";"18.3";"755.8";"759.7";"";"84";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"17.8";"22.8";"";"";"300-600";"";"";"16.0";"15.6";"";"";"";"";"";"";
"16.08.2019 16:00";"22.2";"754.8";"758.8";"";"66";"Wind blowing from the west";"5";"";"";"20–30%.";" ";"";"";"17.8";"23.9";"";"";"300-600";"";"";"16.0";"15.6";"";"";"";"";"";"";
"16.08.2019 10:00";"22.8";"756.6";"760.6";"";"62";"Wind blowing from the west";"4";"";"";"20–30%.";" ";"";"";"18.3";"23.9";"";"";"300-600";"";"";"11.0";"15.0";"";"";"";"";"";"";
"16.08.2019 04:00";"18.3";"755.5";"759.6";"";"81";"Calm, no wind";"0";"";"";"100%.";"Haze. ";"";"";"17.8";"23.9";"";"";"100-200";"";"";"6.0";"15.0";"";"";"";"";"";"";
"15.08.2019 22:00";"18.3";"755.3";"759.4";"";"87";"Wind blowing from the south-west";"3";"";"";"100%.";"Mist. ";"";"";"16.7";"22.2";"";"";"50-100";"";"";"9.0";"16.1";"";"";"";"";"";"";
"15.08.2019 16:00";"22.2";"755.0";"759.1";"";"68";"Wind blowing from the west";"8";"";"";"20–30%.";" ";"";"";"16.7";"23.9";"";"";"300-600";"";"";"16.0";"16.1";"";"";"";"";"";"";
"15.08.2019 10:00";"21.1";"757.3";"761.3";"";"68";"Wind blowing from the west";"5";"";"";"50%.";" ";"";"";"17.2";"22.2";"";"";"300-600";"";"";"11.0";"15.0";"";"";"";"";"";"";
"15.08.2019 04:00";"17.2";"756.8";"760.7";"";"90";"Wind blowing from the west-northwest";"2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Mist. ";"";"";"16.7";"23.3";"";"";"50-100";"";"";"1.2";"15.6";"";"";"";"";"";"";
"14.08.2019 22:00";"17.8";"757.0";"761.0";"";"90";"Wind blowing from the west";"4";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog in patches. ";"";"";"";"";"";"";"50-100";"";"";"0.4";"16.1";"";"";"";"";"";"";
"14.08.2019 16:00";"22.2";"756.1";"760.0";"";"68";"Wind blowing from the west";"5";"";"";"20–30%.";" ";"";"";"";"";"";"";"200-300";"";"";"16.0";"16.1";"";"";"";"";"";"";
"14.08.2019 10:00";"19.4";"757.8";"761.8";"";"79";"Wind blowing from the west-southwest";"4";"";"";"50%.";"Haze. ";"";"";"";"";"";"";"200-300";"";"";"9.0";"15.6";"";"";"";"";"";"";
"14.08.2019 04:00";"16.1";"756.8";"760.8";"";"97";"Wind blowing from the west";"2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog in patches. ";"";"";"16.1";"21.7";"";"";"50-100";"";"";"0.8";"15.6";"";"";"";"";"";"";
"13.08.2019 22:00";"16.7";"756.8";"760.9";"";"96";"Wind blowing from the west-southwest";"3";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog in patches. ";"";"";"16.1";"20.0";"";"";"50-100";"";"";"0.8";"16.1";"";"";"";"";"";"";
"13.08.2019 16:00";"20.0";"756.1";"760.1";"";"78";"Wind blowing from the west";"6";"";"";"20–30%.";" ";"";"";"16.7";"21.7";"";"";"300-600";"";"";"16.0";"16.1";"";"";"";"";"";"";
"13.08.2019 10:00";"20.0";"757.8";"761.8";"";"78";"Wind blowing from the west";"4";"";"";"50%.";"Haze. ";"";"";"17.2";"20.6";"";"";"300-600";"";"";"8.0";"16.1";"";"";"";"";"";"";
"13.08.2019 04:00";"17.2";"756.6";"760.6";"";"93";"Calm, no wind";"0";"";"";"100%.";"Mist. ";"";"";"16.7";"22.8";"";"";"Less than  50";"";"";"4.0";"16.1";"";"";"";"";"";"";
"12.08.2019 22:00";"17.2";"757.0";"761.0";"";"97";"Wind blowing from the west";"4";"";"";"100%.";"Mist. ";"";"";"16.7";"21.1";"";"";"50-100";"";"";"4.0";"16.7";"";"";"";"";"";"";
"12.08.2019 16:00";"21.1";"755.8";"760.0";"";"76";"Wind blowing from the west";"5";"";"";"20–30%.";" ";"";"";"16.7";"22.8";"";"";"200-300";"";"";"16.0";"16.7";"";"";"";"";"";"";
"12.08.2019 10:00";"21.7";"757.8";"761.8";"";"73";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"16.7";"21.7";"";"";"300-600";"";"";"11.0";"16.7";"";"";"";"";"";"";
"12.08.2019 04:00";"17.2";"756.8";"760.8";"";"93";"";"2";"";"";"100%.";"Mist. ";"";"";"16.7";"23.3";"";"";"100-200";"";"";"6.0";"16.1";"";"";"";"";"";"";
"11.08.2019 22:00";"17.2";"756.6";"760.6";"";"93";"Wind blowing from the west";"2";"";"";"70 – 80%.";" ";"";"";"16.7";"21.1";"";"";"100-200";"";"";"16.0";"16.1";"";"";"";"";"";"";
"11.08.2019 16:00";"21.1";"756.1";"760.1";"";"79";"Wind blowing from the west";"7";"";"";"50%.";" ";"";"";"16.7";"23.3";"";"";"300-600";"";"";"16.0";"17.2";"";"";"";"";"";"";
"11.08.2019 10:00";"22.8";"757.6";"761.5";"";"69";"Wind blowing from the west-southwest";"2";"";"";"20–30%.";" ";"";"";"17.2";"22.8";"";"";"300-600";"";"";"16.0";"16.7";"";"";"";"";"";"";
"11.08.2019 04:00";"17.2";"756.3";"760.3";"";"97";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"16.7";"22.8";"";"";"200-300";"";"";"16.0";"16.7";"";"";"";"";"";"";
"10.08.2019 22:00";"18.3";"756.3";"760.1";"";"93";"Wind blowing from the west-southwest";"4";"";"";"20–30%.";" ";"";"";"16.1";"21.7";"";"";"300-600";"";"";"16.0";"17.2";"";"";"";"";"";"";
"10.08.2019 16:00";"21.7";"755.5";"759.6";"";"76";"Wind blowing from the west";"6";"";"";"20–30%.";" ";"";"";"16.1";"22.8";"";"";"300-600";"";"";"16.0";"17.2";"";"";"";"";"";"";
"10.08.2019 10:00";"22.2";"756.6";"760.6";"";"68";"Wind blowing from the west-southwest";"5";"";"";"20–30%.";" ";"";"";"16.7";"22.2";"";"";"300-600";"";"";"16.0";"16.1";"";"";"";"";"";"";
"10.08.2019 04:00";"16.7";"755.3";"759.3";"";"86";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"16.1";"22.2";"";"";"";"";"";"16.0";"14.4";"";"";"";"";"";"";
"09.08.2019 22:00";"17.8";"755.3";"759.4";"";"87";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"15.6";"20.6";"";"";"300-600";"";"";"16.0";"15.6";"";"";"";"";"";"";
"09.08.2019 16:00";"20.6";"755.3";"759.2";"";"78";"Wind blowing from the west";"7";"";"";"50%.";" ";"";"";"15.6";"22.2";"";"";"300-600";"";"";"16.0";"16.7";"";"";"";"";"";"";
"09.08.2019 10:00";"21.7";"756.6";"760.5";"";"73";"Wind blowing from the south";"2";"";"";"50%.";" ";"";"";"16.1";"21.7";"";"";"300-600";"";"";"11.0";"16.7";"";"";"";"";"";"";
"09.08.2019 04:00";"16.1";"755.0";"759.1";"";"90";"Wind blowing from the east-southeast";"2";"";"";"50%.";" ";"";"";"15.6";"20.6";"";"";"300-600";"";"";"16.0";"14.4";"";"";"";"";"";"";
"08.08.2019 22:00";"17.8";"755.5";"759.6";"";"90";"Wind blowing from the east-southeast";"4";"";"";"50%.";" ";"";"";"16.7";"18.9";"";"";"300-600";"";"";"16.0";"16.1";"";"";"";"";"";"";
"08.08.2019 16:00";"18.9";"755.0";"759.1";"";"84";"Wind blowing from the west";"5";"";"";"70 – 80%.";" ";"";"";"16.7";"20.6";"";"";"200-300";"";"";"14.0";"16.1";"";"";"";"";"";"";
"08.08.2019 10:00";"18.9";"757.0";"761.1";"";"87";"Wind blowing from the west";"4";"";"";"100%.";"Mist. ";"";"";"16.7";"18.9";"";"";"200-300";"";"";"8.0";"16.7";"";"";"";"";"";"";
"08.08.2019 04:00";"16.7";"756.1";"760.0";"";"96";"Calm, no wind";"0";"";"";"100%.";"Mist. ";"";"";"16.1";"22.8";"";"";"200-300";"";"";"4.8";"16.1";"";"";"";"";"";"";
"07.08.2019 22:00";"16.7";"756.6";"760.6";"";"93";"Wind blowing from the west-southwest";"3";"";"";"100%.";" ";"";"";"16.1";"20.6";"";"";"100-200";"";"";"16.0";"15.6";"";"";"";"";"";"";
"07.08.2019 16:00";"20.0";"755.3";"759.3";"";"81";"Wind blowing from the west";"6";"";"";"50%.";" ";"";"";"17.8";"22.8";"";"";"300-600";"";"";"16.0";"16.7";"";"";"";"";"";"";
"07.08.2019 10:00";"20.0";"757.0";"761.0";"";"84";"Wind blowing from the west";"3";"";"";"70 – 80%.";"Mist. ";"";"";"17.8";"20.6";"";"";"300-600";"";"";"9.0";"17.2";"";"";"";"";"";"";
"07.08.2019 04:00";"17.8";"755.8";"759.7";"";"93";"Calm, no wind";"0";"";"";"100%.";"Mist. ";"";"";"17.8";"22.8";"";"";"300-600";"";"";"9.0";"16.7";"";"";"";"";"";"";
"06.08.2019 22:00";"18.3";"756.6";"760.4";"";"90";"Wind blowing from the west";"3";"";"";"50%.";" ";"";"";"17.2";"20.6";"";"";"300-600";"";"";"16.0";"16.7";"";"";"";"";"";"";
"06.08.2019 16:00";"20.6";"754.3";"758.4";"";"78";"Wind blowing from the west-southwest";"8";"";"";"50%.";" ";"";"";"17.2";"22.8";"";"";"300-600";"";"";"16.0";"16.7";"";"";"";"";"";"";
"06.08.2019 10:00";"22.2";"756.1";"760.1";"";"73";"Wind blowing from the west";"5";"";"";"70 – 80%.";" ";"";"";"17.2";"22.2";"";"";"200-300";"";"";"12.0";"17.2";"";"";"";"";"";"";
"06.08.2019 04:00";"17.8";"755.0";"759.0";"";"93";"Wind blowing from the south";"2";"";"";"50%.";" ";"";"";"17.2";"21.7";"";"";"200-300";"";"";"14.0";"16.7";"";"";"";"";"";"";
"05.08.2019 22:00";"18.3";"755.8";"759.8";"";"93";"Wind blowing from the south";"3";"";"";"50%.";" ";"";"";"16.7";"20.6";"";"";"200-300";"";"";"16.0";"17.2";"";"";"";"";"";"";
"05.08.2019 16:00";"20.0";"755.0";"759.1";"";"76";"Wind blowing from the west";"6";"";"";"20–30%.";" ";"";"";"16.7";"21.7";"";"";"200-300";"";"";"16.0";"15.6";"";"";"";"";"";"";
"05.08.2019 10:00";"20.6";"756.8";"760.9";"";"78";"Wind blowing from the west-southwest";"3";"";"";"50%.";"Haze. ";"";"";"16.7";"21.1";"";"";"200-300";"";"";"9.0";"16.7";"";"";"";"";"";"";
"05.08.2019 04:00";"17.2";"755.8";"759.9";"";"97";"Wind blowing from the west-southwest";"2";"";"";"70 – 80%.";"Mist. ";"";"";"16.7";"23.3";"";"";"200-300";"";"";"8.0";"16.7";"";"";"";"";"";"";
"04.08.2019 22:00";"17.8";"756.6";"760.5";"";"90";"Wind blowing from the west-southwest";"4";"";"";"20–30%.";" ";"";"";"17.2";"21.7";"";"";"200-300";"";"";"16.0";"16.1";"";"";"";"";"";"";
"04.08.2019 16:00";"21.7";"755.5";"759.5";"";"79";"Wind blowing from the west-southwest";"6";"";"";"50%.";" ";"";"";"17.8";"23.3";"";"";"300-600";"";"";"16.0";"17.8";"";"";"";"";"";"";
"04.08.2019 10:00";"21.1";"756.8";"760.8";"";"79";"Wind blowing from the west-southwest";"4";"";"";"50%.";"Haze. ";"";"";"17.2";"21.1";"";"";"200-300";"";"";"9.0";"17.2";"";"";"";"";"";"";
