# Weather station Chicago / Midway (airport), USA, WMO_ID=72534,selection from 29.11.2018 till 30.11.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=72534&lang=en
#
"Local time in Chicago / Midway (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"29.09.2019 03:00";"17.2";"749.2";"766.0";"";"90";"Wind blowing from the east";"4";"";"";"100%.";"Mist. ";"";"";"";"";"";"";"300-600";"";"";"9.0";"15.6";"0.3";"3";"";"";"";"";
"28.09.2019 21:00";"16.7";"750.4";"767.1";"";"78";"Wind blowing from the north-east";"5";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"12.8";"";"";"";"";"";"";
"28.09.2019 15:00";"16.1";"749.2";"765.9";"";"87";"Wind blowing from the north-northeast";"6";"";"";"100%.";" ";"";"";"";"";"";"";"300-600";"";"";"16.0";"13.9";"Trace of precipitation";"3";"";"";"";"";
"28.09.2019 09:00";"15.6";"746.4";"763.0";"";"96";"Wind blowing from the north-northeast";"7";"10";"";"100%.";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"4.0";"15.0";"0.5";"3";"";"";"";"";
"28.09.2019 03:00";"17.8";"740.7";"757.0";"";"93";"Wind blowing from the north-northeast";"6";"";"";"100%.";" ";"";"";"";"";"";"";"100-200";"";"";"11.0";"16.7";"4.0";"3";"";"";"";"";
"27.09.2019 21:00";"20.0";"739.2";"755.3";"";"93";"Wind blowing from the south-southwest";"7";"";"";"100%.";"Mist. ";"";"";"";"";"";"";"1500-2000";"";"";"9.0";"18.9";"13.0";"3";"";"";"";"";
"27.09.2019 15:00";"20.0";"737.4";"753.8";"";"90";"Wind blowing from the south";"7";"12";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"";"";"";"";"200-300";"";"";"16.0";"18.3";"3.0";"3";"";"";"";"";
"27.09.2019 09:00";"20.0";"739.6";"756.1";"";"47";"Wind blowing from the south-southwest";"5";"10";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"8.3";"";"";"";"";"";"";
"27.09.2019 03:00";"17.2";"741.7";"757.9";"";"47";"Wind blowing from the south-southwest";"3";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"5.6";"";"";"";"";"";"";
"26.09.2019 21:00";"17.8";"743.4";"759.9";"";"50";"Wind blowing from the south";"3";"";"";"20–30%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"7.2";"";"";"";"";"";"";
"26.09.2019 15:00";"22.2";"743.6";"759.9";"";"33";"Wind blowing from the west";"5";"";"";"50%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"5.0";"";"";"";"";"";"";
"26.09.2019 09:00";"18.3";"744.4";"760.9";"";"49";"Wind blowing from the north-northwest";"5";"";"";"20–30%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"7.2";"";"";"";"";"";"";
"26.09.2019 03:00";"17.2";"741.9";"758.1";"";"56";"Wind blowing from the west-northwest";"3";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"8.3";"Trace of precipitation";"3";"";"";"";"";
"25.09.2019 21:00";"21.1";"740.9";"757.2";"";"47";"Wind blowing from the west-northwest";"6";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"9.4";"";"";"";"";"";"";
"25.09.2019 15:00";"25.6";"738.1";"754.3";"";"45";"Wind blowing from the west";"5";"";"";"50%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"16.0";"12.8";"";"";"";"";"";"";
"25.09.2019 09:00";"20.0";"738.9";"755.0";"";"76";"Wind blowing from the west-southwest";"6";"11";"";"100%.";" ";"";"";"";"";"";"";"300-600";"";"";"16.0";"15.6";"Trace of precipitation";"3";"";"";"";"";
"25.09.2019 03:00";"18.9";"738.9";"755.0";"";"70";"Wind blowing from the south-southwest";"5";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"16.0";"13.3";"";"";"";"";"";"";
"24.09.2019 21:00";"21.7";"739.9";"756.1";"";"59";"Wind blowing from the south-southwest";"7";"12";"";"20–30%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"13.3";"";"";"";"";"";"";
"24.09.2019 15:00";"26.1";"741.9";"758.2";"";"47";"Wind blowing from the south-west";"8";"";"";"20–30%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"16.0";"13.9";"";"";"";"";"";"";
"24.09.2019 09:00";"20.6";"744.9";"761.2";"";"66";"Wind blowing from the south-west";"5";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"16.0";"13.9";"";"";"";"";"";"";
"24.09.2019 03:00";"15.0";"745.1";"761.5";"";"83";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"16.0";"12.2";"";"";"";"";"";"";
"23.09.2019 21:00";"18.3";"745.9";"762.4";"";"66";"Wind blowing from the west-southwest";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"16.0";"11.7";"";"";"";"";"";"";
"23.09.2019 15:00";"23.3";"745.1";"761.5";"";"43";"Wind blowing from the west";"7";"10";"";"50%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"16.0";"10.0";"";"";"";"";"";"";
"23.09.2019 09:00";"18.3";"745.9";"762.2";"";"68";"Wind blowing from the north-west";"5";"";"";"20–30%.";" ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"12.2";"";"";"";"";"";"";
"23.09.2019 03:00";"18.9";"742.4";"758.6";"";"93";"Wind blowing from the west-northwest";"3";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"300-600";"";"";"16.0";"17.8";"";"";"";"";"";"";
"22.09.2019 21:00";"20.6";"741.4";"757.6";"";"96";"Wind blowing from the west";"3";"";"";"100%.";"Drizzle, not freezing, continuous, slight at time of observation. ";"";"";"";"";"";"";"200-300";"";"";"16.0";"20.0";"1.0";"3";"";"";"";"";
"22.09.2019 15:00";"21.7";"741.4";"757.5";"";"94";"Wind blowing from the south-southwest";"5";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"";"";"";"";"600-1000";"";"";"8.0";"20.6";"5.0";"3";"";"";"";"";
"22.09.2019 09:00";"23.9";"742.9";"759.0";"";"69";"Wind blowing from the south-southwest";"7";"11";"";"70 – 80%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"16.0";"17.8";"";"";"";"";"";"";
"22.09.2019 03:00";"22.2";"744.4";"760.6";"";"91";"Wind blowing from the south-southwest";"6";"9";"";"70 – 80%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"";"";"";"";"1000-1500";"";"";"16.0";"20.6";"0.8";"3";"";"";"";"";
"21.09.2019 21:00";"22.8";"745.6";"761.8";"";"90";"Wind blowing from the south-southwest";"5";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"";"";"";"";"300-600";"";"";"12.0";"21.1";"8.0";"3";"";"";"";"";
"21.09.2019 15:00";"24.4";"746.2";"762.4";"";"77";"Wind blowing from the south-southwest";"7";"13";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"20.0";"";"";"";"";"";"";
"21.09.2019 09:00";"23.9";"747.9";"763.9";"";"82";"Wind blowing from the south-west";"6";"11";"";"70 – 80%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"";"";"";"";"600-1000";"";"";"14.0";"20.6";"Trace of precipitation";"3";"";"";"";"";
"21.09.2019 03:00";"22.8";"747.7";"763.6";"";"84";"Wind blowing from the south-southwest";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"16.0";"20.0";"";"";"";"";"";"";
"20.09.2019 21:00";"25.6";"747.9";"764.0";"";"69";"Wind blowing from the south-east";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"16.0";"19.4";"";"";"";"";"";"";
"20.09.2019 15:00";"29.4";"747.1";"763.2";"";"57";"Wind blowing from the south-southwest";"3";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"16.0";"20.0";"";"";"";"";"";"";
"20.09.2019 09:00";"23.3";"748.6";"764.8";"";"79";"Wind blowing from the west-southwest";"3";"";"";"100%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"16.0";"19.4";"";"";"";"";"";"";
"20.09.2019 03:00";"20.6";"747.4";"763.6";"";"90";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"14.0";"18.9";"0.3";"3";"";"";"";"";
"19.09.2019 21:00";"23.3";"746.6";"763.0";"";"64";"Wind blowing from the east-southeast";"2";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"16.1";"";"";"";"";"";"";
"19.09.2019 15:00";"27.8";"746.6";"762.7";"";"47";"Wind blowing from the east-northeast";"4";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"16.0";"15.6";"";"";"";"";"";"";
"19.09.2019 09:00";"23.3";"747.9";"764.2";"";"54";"Wind blowing from the south";"3";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"16.0";"13.3";"";"";"";"";"";"";
"19.09.2019 03:00";"19.4";"746.9";"763.0";"";"68";"Wind blowing from the south-southeast";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"16.0";"13.3";"";"";"";"";"";"";
"18.09.2019 21:00";"23.9";"746.9";"763.2";"";"60";"Wind blowing from the south-east";"4";"";"";"50%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"15.6";"";"";"";"";"";"";
"18.09.2019 15:00";"27.8";"747.1";"763.3";"";"49";"Wind blowing from the south-southeast";"5";"8";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"16.1";"";"";"";"";"";"";
"18.09.2019 09:00";"23.3";"748.4";"764.8";"";"64";"Wind blowing from the south";"4";"";"";"20–30%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"16.1";"";"";"";"";"";"";
"18.09.2019 03:00";"18.9";"747.9";"764.2";"";"81";"Wind blowing from the south-east";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"16.0";"15.6";"";"";"";"";"";"";
"17.09.2019 21:00";"21.1";"748.1";"764.5";"";"84";"Wind blowing from the east-southeast";"4";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"18.3";"";"";"";"";"";"";
"17.09.2019 15:00";"25.0";"747.9";"764.3";"";"71";"Wind blowing from the east";"4";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"19.4";"";"";"";"";"";"";
"17.09.2019 09:00";"21.1";"749.9";"766.3";"";"87";"Wind blowing from the east";"3";"";"";"100%.";"Mist. ";"";"";"";"";"";"";"200-300";"";"";"9.0";"18.9";"";"";"";"";"";"";
"17.09.2019 03:00";"18.9";"748.9";"765.2";"";"93";"Wind blowing from the east";"2";"";"";"100%.";"Mist. ";"";"";"";"";"";"";"200-300";"";"";"9.0";"17.8";"";"";"";"";"";"";
"16.09.2019 21:00";"19.4";"748.4";"764.8";"";"91";"Wind blowing from the east-northeast";"5";"";"";"100%.";" ";"";"";"";"";"";"";"200-300";"";"";"11.0";"17.8";"";"";"";"";"";"";
"16.09.2019 15:00";"23.9";"747.7";"764.0";"";"71";"Wind blowing from the north-northeast";"3";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"300-600";"";"";"16.0";"18.3";"";"";"";"";"";"";
"16.09.2019 09:00";"21.1";"748.6";"765.0";"";"90";"Wind blowing from the north-northeast";"3";"";"";"100%.";" ";"";"";"";"";"";"";"200-300";"";"";"11.0";"19.4";"";"";"";"";"";"";
"16.09.2019 03:00";"21.7";"746.2";"762.4";"";"94";"Wind blowing from the north";"2";"";"";"50%.";" ";"";"";"";"";"";"";"600-1000";"";"";"12.0";"20.6";"";"";"";"";"";"";
"15.09.2019 21:00";"23.3";"745.6";"761.8";"";"85";"Wind blowing from the south";"3";"";"";"20–30%.";" ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"20.6";"";"";"";"";"";"";
"15.09.2019 15:00";"25.0";"744.7";"760.8";"";"74";"Wind blowing from the south-southwest";"5";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"20.0";"";"";"";"";"";"";
"15.09.2019 09:00";"20.0";"747.4";"763.6";"";"84";"Wind blowing from the south-southwest";"7";"11";"";"70 – 80%.";" ";"";"";"";"";"";"";"200-300";"";"";"16.0";"17.2";"4.0";"3";"";"";"";"";
"15.09.2019 03:00";"20.0";"747.7";"763.9";"";"76";"Wind blowing from the south-west";"4";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"";"";"";"";"1500-2000";"";"";"14.0";"15.6";"0.8";"3";"";"";"";"";
"14.09.2019 21:00";"23.9";"748.4";"764.7";"";"60";"Wind blowing from the south";"3";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"16.0";"15.6";"";"";"";"";"";"";
"14.09.2019 15:00";"27.2";"748.6";"765.0";"";"51";"Wind blowing from the west-southwest";"6";"10";"";"20–30%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"16.0";"16.1";"";"";"";"";"";"";
"14.09.2019 09:00";"20.0";"750.9";"767.5";"";"65";"Wind blowing from the south";"3";"";"";"20–30%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"13.3";"";"";"";"";"";"";
"14.09.2019 03:00";"16.7";"749.2";"765.7";"";"78";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"16.0";"12.8";"";"";"";"";"";"";
"13.09.2019 21:00";"17.8";"748.4";"764.8";"";"70";"Wind blowing from the west-southwest";"3";"";"";"20–30%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"12.2";"";"";"";"";"";"";
"13.09.2019 15:00";"23.3";"746.2";"762.3";"";"57";"Wind blowing from the west";"9";"15";"";"70 – 80%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"16.0";"14.4";"";"";"";"";"";"";
"13.09.2019 09:00";"22.8";"745.4";"761.5";"";"87";"Wind blowing from the south-west";"6";"";"";"100%.";" ";"";"";"";"";"";"";"300-600";"";"";"16.0";"20.6";"0.3";"3";"";"";"";"";
"13.09.2019 03:00";"24.4";"744.4";"760.3";"";"79";"Calm, no wind";"0";"";"";"100%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"";"";"";"";"";"";"1500-2000";"";"";"16.0";"20.6";"";"";"";"";"";"";
"12.09.2019 21:00";"25.6";"746.2";"762.4";"";"74";"Wind blowing from the south-east";"5";"";"";"20–30%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"16.0";"20.6";"";"";"";"";"";"";
"12.09.2019 15:00";"27.2";"746.6";"762.8";"";"69";"Wind blowing from the east-northeast";"4";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"300-600";"";"";"16.0";"21.1";"";"";"";"";"";"";
"12.09.2019 09:00";"20.6";"748.4";"764.5";"";"90";"Wind blowing from the north-northeast";"3";"";"";"100%.";" ";"";"";"";"";"";"";"100-200";"";"";"12.0";"18.9";"";"";"";"";"";"";
"12.09.2019 03:00";"20.6";"747.9";"763.9";"";"93";"Wind blowing from the north";"4";"";"";"100%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"";"";"";"";"";"";"100-200";"";"";"16.0";"19.4";"";"";"";"";"";"";
"11.09.2019 21:00";"27.8";"745.6";"761.7";"";"74";"Wind blowing from the south-southwest";"5";"";"";"50%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"16.0";"22.8";"";"";"";"";"";"";
"11.09.2019 15:00";"31.7";"745.4";"761.4";"";"55";"Wind blowing from the south-southwest";"9";"12";"";"70 – 80%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"16.0";"21.7";"";"";"";"";"";"";
"11.09.2019 09:00";"27.2";"748.1";"764.2";"";"77";"Wind blowing from the south-southwest";"4";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"22.8";"";"";"";"";"";"";
"11.09.2019 03:00";"24.4";"747.7";"763.6";"";"88";"Wind blowing from the south-southwest";"2";"";"";"50%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"16.0";"22.2";"";"";"";"";"";"";
"10.09.2019 21:00";"27.2";"746.9";"763.0";"";"74";"Wind blowing from the south-west";"3";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"22.2";"";"";"";"";"";"";
"10.09.2019 15:00";"31.7";"745.6";"761.6";"";"52";"Wind blowing from the south-west";"9";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"16.0";"20.6";"";"";"";"";"";"";
"10.09.2019 09:00";"27.2";"746.9";"763.0";"";"67";"Wind blowing from the south-west";"4";"9";"";"70 – 80%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"16.0";"20.6";"";"";"";"";"";"";
"10.09.2019 03:00";"23.3";"746.6";"762.8";"";"76";"Wind blowing from the south";"6";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"18.9";"";"";"";"";"";"";
"09.09.2019 21:00";"23.3";"746.9";"763.3";"";"79";"Wind blowing from the south-east";"4";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"19.4";"";"";"";"";"";"";
"09.09.2019 15:00";"23.9";"747.9";"764.3";"";"69";"Wind blowing from the south-east";"4";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"16.0";"17.8";"Trace of precipitation";"3";"";"";"";"";
"09.09.2019 09:00";"19.4";"749.6";"766.3";"";"81";"Wind blowing from the south-southeast";"4";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"16.0";"16.1";"Trace of precipitation";"3";"";"";"";"";
"09.09.2019 03:00";"17.2";"749.2";"765.7";"";"87";"Wind blowing from the east";"3";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"15.0";"Trace of precipitation";"3";"";"";"";"";
"08.09.2019 21:00";"18.3";"749.2";"765.7";"";"76";"Wind blowing from the east";"3";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"13.9";"";"";"";"";"";"";
"08.09.2019 15:00";"18.3";"747.9";"764.3";"";"66";"Wind blowing from the east";"5";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"11.7";"";"";"";"";"";"";
"08.09.2019 09:00";"17.2";"747.7";"764.1";"";"87";"Wind blowing from the east";"5";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"15.0";"0.5";"3";"";"";"";"";
"08.09.2019 03:00";"19.4";"746.6";"762.7";"";"63";"Wind blowing from the east";"4";"";"";"100%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"16.0";"12.2";"Trace of precipitation";"3";"";"";"";"";
"07.09.2019 21:00";"20.6";"746.2";"762.4";"";"68";"Wind blowing from the east";"5";"";"";"100%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"16.0";"14.4";"Trace of precipitation";"3";"";"";"";"";
"07.09.2019 15:00";"26.1";"745.1";"761.5";"";"47";"Wind blowing from the west";"7";"10";"";"70 – 80%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"16.0";"13.9";"";"";"";"";"";"";
"07.09.2019 09:00";"20.6";"746.6";"763.0";"";"63";"Wind blowing from the west-northwest";"4";"";"";"50%.";" ";"";"";"";"";"";"";"300-600";"";"";"16.0";"13.3";"";"";"";"";"";"";
"07.09.2019 03:00";"15.0";"746.2";"762.7";"";"87";"Wind blowing from the west-northwest";"2";"";"";"20–30%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"16.0";"12.8";"";"";"";"";"";"";
"06.09.2019 21:00";"18.9";"746.2";"762.6";"";"78";"Wind blowing from the north";"3";"";"";"100%.";" ";"";"";"";"";"";"";"300-600";"";"";"16.0";"15.0";"";"";"";"";"";"";
"06.09.2019 15:00";"21.7";"743.9";"760.3";"";"66";"Wind blowing from the north-northwest";"7";"11";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"15.0";"";"";"";"";"";"";
"06.09.2019 09:00";"21.1";"742.2";"758.4";"";"82";"Wind blowing from the west-northwest";"6";"";"";"100%.";" ";"";"";"";"";"";"";"300-600";"";"";"16.0";"17.8";"";"";"";"";"";"";
"06.09.2019 03:00";"19.4";"743.2";"759.4";"";"68";"Wind blowing from the south-southwest";"3";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"16.0";"13.3";"";"";"";"";"";"";
"05.09.2019 21:00";"18.3";"745.6";"762.1";"";"68";"Wind blowing from the south-southeast";"3";"";"";"20–30%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"12.2";"";"";"";"";"";"";
"05.09.2019 15:00";"21.7";"747.4";"763.8";"";"55";"Wind blowing from the east";"2";"";"";"20–30%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"16.0";"12.2";"";"";"";"";"";"";
"05.09.2019 09:00";"18.9";"749.9";"766.4";"";"59";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"16.0";"10.6";"";"";"";"";"";"";
"05.09.2019 03:00";"15.0";"748.9";"765.6";"";"72";"Wind blowing from the north";"2";"";"";"50%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"16.0";"10.0";"";"";"";"";"";"";
"04.09.2019 21:00";"17.8";"749.2";"765.7";"";"68";"";"2";"";"";"100%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"16.0";"11.7";"";"";"";"";"";"";
"04.09.2019 15:00";"19.4";"748.6";"765.1";"";"63";"Wind blowing from the east-northeast";"6";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"12.2";"";"";"";"";"";"";
"04.09.2019 09:00";"20.0";"747.7";"763.9";"";"65";"Wind blowing from the north";"5";"9";"";"70 – 80%.";" ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"13.3";"";"";"";"";"";"";
"04.09.2019 03:00";"17.8";"744.4";"760.6";"";"73";"Wind blowing from the north-west";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"16.0";"12.8";"";"";"";"";"";"";
"03.09.2019 21:00";"25.0";"741.7";"757.6";"";"69";"Wind blowing from the west-northwest";"8";"10";"";"20–30%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"16.0";"18.9";"";"";"";"";"";"";
"03.09.2019 15:00";"25.6";"739.6";"755.7";"";"82";"Wind blowing from the south-southwest";"9";"14";"";"70 – 80%.";" ";"";"";"";"";"";"";"300-600";"";"";"14.0";"22.2";"Trace of precipitation";"3";"";"";"";"";
"03.09.2019 09:00";"21.1";"741.4";"757.6";"";"82";"Wind blowing from the south-southwest";"6";"16";"";"100%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"16.0";"17.8";"4.0";"3";"";"";"";"";
"03.09.2019 03:00";"20.6";"744.4";"760.6";"";"81";"Wind blowing from the south-southwest";"4";"";"";"20–30%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"17.2";"";"";"";"";"";"";
"02.09.2019 21:00";"23.3";"746.2";"762.4";"";"69";"Wind blowing from the south-southwest";"2";"";"";"20–30%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"16.0";"17.2";"";"";"";"";"";"";
"02.09.2019 15:00";"27.8";"746.6";"762.8";"";"55";"Wind blowing from the west";"3";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"16.0";"17.8";"";"";"";"";"";"";
"02.09.2019 09:00";"23.9";"747.9";"764.2";"";"69";"Wind blowing from the north-west";"3";"";"";"20–30%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"16.0";"17.8";"";"";"";"";"";"";
"02.09.2019 03:00";"17.2";"747.1";"763.6";"";"93";"Wind blowing from the west-southwest";"2";"";"";"no clouds";"Mist. ";"";"";"";"";"";"";"";"";"";"6.0";"16.1";"";"";"";"";"";"";
"01.09.2019 21:00";"20.0";"746.9";"763.4";"";"78";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"16.1";"";"";"";"";"";"";
"01.09.2019 15:00";"21.7";"746.9";"763.3";"";"73";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"16.7";"";"";"";"";"";"";
"01.09.2019 09:00";"18.9";"748.9";"765.3";"";"75";"Wind blowing from the east-southeast";"4";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"14.4";"";"";"";"";"";"";
"01.09.2019 03:00";"17.2";"749.6";"766.2";"";"93";"Wind blowing from the east";"3";"";"";"100%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"";"";"";"";"";"";"200-300";"";"";"4.8";"16.1";"10.0";"3";"";"";"";"";
"31.08.2019 21:00";"20.6";"750.1";"766.5";"";"76";"Wind blowing from the east";"4";"";"";"100%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"16.0";"16.1";"Trace of precipitation";"3";"";"";"";"";
"31.08.2019 15:00";"22.8";"750.9";"767.2";"";"51";"Wind blowing from the east-northeast";"7";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"12.2";"";"";"";"";"";"";
"31.08.2019 09:00";"20.0";"751.9";"768.5";"";"53";"Wind blowing from the east";"7";"";"";"50%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"16.0";"10.0";"";"";"";"";"";"";
"31.08.2019 03:00";"18.3";"751.4";"767.8";"";"68";"Wind blowing from the east-southeast";"4";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"12.2";"";"";"";"";"";"";
"30.08.2019 21:00";"19.4";"750.7";"767.0";"";"57";"Wind blowing from the north-northeast";"2";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"10.6";"";"";"";"";"";"";
"30.08.2019 15:00";"22.8";"748.6";"765.0";"";"44";"Wind blowing from the east";"4";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"10.0";"";"";"";"";"";"";
"30.08.2019 09:00";"21.1";"748.1";"764.5";"";"51";"Wind blowing from the north-northeast";"2";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"10.6";"";"";"";"";"";"";
"30.08.2019 03:00";"18.9";"744.9";"761.2";"";"61";"Wind blowing from the north";"3";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"11.1";"";"";"";"";"";"";
