# Weather station Springfield (airport), USA, WMO_ID=72440,selection from 29.11.2018 till 30.11.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=72440&lang=en
#
"Local time in Springfield (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"10.09.2019 18:00";"29.4";"729.7";"763.1";"";"59";"Wind blowing from the south-southeast";"4";"";"";"no clouds";" ";"";"";"22.2";"32.2";"";"";"";"";"";"16.0";"20.6";"";"";"";"";"";"";
"10.09.2019 12:00";"30.0";"730.9";"764.4";"";"59";"Wind blowing from the south-west";"5";"";"";"no clouds";" ";"";"";"22.2";"30.0";"";"";"";"";"";"16.0";"21.1";"";"";"";"";"";"";
"10.09.2019 06:00";"22.2";"729.7";"763.2";"";"84";"Wind blowing from the south";"4";"";"";"no clouds";" ";"";"";"22.2";"35.0";"";"";"";"";"";"16.0";"19.4";"";"";"";"";"";"";
"10.09.2019 00:00";"26.1";"729.2";"762.4";"";"69";"Wind blowing from the south";"5";"";"";"no clouds";" ";"";"";"22.8";"30.6";"";"";"";"";"";"16.0";"20.0";"";"";"";"";"";"";
"09.09.2019 18:00";"30.6";"727.3";"760.6";"";"53";"Wind blowing from the south";"4";"";"";"no clouds";" ";"";"";"22.8";"35.0";"";"";"";"";"";"16.0";"20.0";"";"";"";"";"";"";
"09.09.2019 12:00";"33.9";"728.7";"762.1";"";"42";"Wind blowing from the south";"6";"";"";"no clouds";" ";"";"";"22.8";"33.9";"";"";"";"";"";"16.0";"19.4";"";"";"";"";"";"";
"09.09.2019 06:00";"23.3";"729.0";"762.4";"";"85";"Wind blowing from the south-southeast";"5";"";"";"no clouds";" ";"";"";"22.8";"33.9";"";"";"";"";"";"16.0";"20.6";"";"";"";"";"";"";
"09.09.2019 00:00";"25.0";"728.0";"761.2";"";"79";"Wind blowing from the south-southeast";"5";"";"";"no clouds";" ";"";"";"22.8";"29.4";"";"";"";"";"";"16.0";"21.1";"";"";"";"";"";"";
"08.09.2019 18:00";"29.4";"726.5";"759.9";"";"55";"Wind blowing from the south";"5";"";"";"no clouds";" ";"";"";"22.8";"33.9";"";"";"";"";"";"16.0";"19.4";"";"";"";"";"";"";
"08.09.2019 12:00";"30.6";"728.0";"761.4";"";"59";"Wind blowing from the south";"5";"";"";"no clouds";" ";"";"";"22.8";"30.6";"";"";"";"";"";"16.0";"21.7";"";"";"";"";"";"";
"08.09.2019 06:00";"22.8";"726.5";"759.9";"";"90";"Wind blowing from the south";"5";"";"";"no clouds";" ";"";"";"22.8";"31.7";"";"";"";"";"";"14.0";"21.1";"";"";"";"";"";"";
"08.09.2019 00:00";"24.4";"726.3";"759.7";"";"85";"Wind blowing from the south-southeast";"6";"";"";"no clouds";" ";"";"";"21.1";"30.0";"";"";"";"";"";"16.0";"21.7";"";"";"";"";"";"";
"07.09.2019 18:00";"30.0";"726.3";"759.8";"";"65";"Wind blowing from the south";"2";"";"";"no clouds";" ";"";"";"21.1";"31.7";"";"";"";"";"";"16.0";"22.8";"";"";"";"";"";"";
"07.09.2019 12:00";"28.9";"728.5";"761.8";"";"63";"Wind blowing from the south-southeast";"4";"";"";"no clouds";" ";"";"";"21.1";"28.9";"";"";"";"";"";"16.0";"21.1";"";"";"";"";"";"";
"07.09.2019 06:00";"21.1";"729.4";"763.0";"";"79";"Wind blowing from the east-southeast";"3";"";"";"no clouds";" ";"";"";"21.1";"33.3";"";"";"";"";"";"16.0";"17.2";"";"";"";"";"";"";
"07.09.2019 00:00";"22.8";"729.0";"762.4";"";"79";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"21.1";"30.0";"";"";"";"";"";"16.0";"18.9";"";"";"";"";"";"";
"06.09.2019 18:00";"30.0";"727.7";"761.1";"";"63";"Wind blowing from the north";"4";"";"";"no clouds";" ";"";"";"21.1";"33.3";"";"";"";"";"";"16.0";"22.2";"";"";"";"";"";"";
"06.09.2019 12:00";"32.2";"728.5";"761.9";"";"48";"Wind blowing from the west";"6";"";"";"no clouds";" ";"";"";"20.6";"32.2";"";"";"";"";"";"16.0";"20.0";"";"";"";"";"";"";
"06.09.2019 06:00";"21.1";"729.0";"762.4";"";"87";"Wind blowing from the south";"2";"";"";"no clouds";" ";"";"";"21.1";"32.8";"";"";"";"";"";"16.0";"18.9";"";"";"";"";"";"";
"06.09.2019 00:00";"22.8";"728.5";"761.8";"";"79";"Wind blowing from the south-southwest";"2";"";"";"no clouds";" ";"";"";"20.6";"30.6";"";"";"";"";"";"16.0";"18.9";"";"";"";"";"";"";
"05.09.2019 18:00";"30.6";"729.0";"762.4";"";"55";"Wind blowing from the west-southwest";"3";"";"";"no clouds";" ";"";"";"20.6";"32.8";"";"";"";"";"";"16.0";"20.6";"";"";"";"";"";"";
"05.09.2019 12:00";"31.1";"730.9";"764.2";"";"59";"Wind blowing from the west";"4";"";"";"20–30%.";" ";"";"";"20.6";"31.1";"";"";"1000-1500";"";"";"16.0";"22.2";"";"";"";"";"";"";
"05.09.2019 06:00";"21.1";"730.7";"764.4";"";"84";"Wind blowing from the east-southeast";"2";"";"";"no clouds";" ";"";"";"20.6";"32.2";"";"";"";"";"";"16.0";"18.3";"";"";"";"";"";"";
"05.09.2019 00:00";"23.3";"730.7";"764.1";"";"85";"Wind blowing from the east-northeast";"2";"";"";"no clouds";" ";"";"";"20.0";"28.9";"";"";"";"";"";"16.0";"20.6";"";"";"";"";"";"";
"04.09.2019 18:00";"28.9";"729.7";"763.3";"";"70";"Wind blowing from the north";"4";"";"";"no clouds";" ";"";"";"20.0";"32.2";"";"";"";"";"";"16.0";"22.8";"";"";"";"";"";"";
"04.09.2019 12:00";"30.6";"730.9";"764.4";"";"65";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"21.1";"31.1";"";"";"600-1000";"";"";"16.0";"23.3";"";"";"";"";"";"";
"04.09.2019 06:00";"21.1";"730.4";"763.9";"";"90";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"20.0";"32.8";"";"";"1500-2000";"";"";"11.0";"19.4";"";"";"";"";"";"";
"04.09.2019 00:00";"22.8";"729.0";"762.4";"";"84";"Wind blowing from the south-southwest";"2";"";"";"no clouds";" ";"";"";"20.6";"30.0";"";"";"";"";"";"16.0";"20.0";"";"";"";"";"";"";
"03.09.2019 18:00";"29.4";"727.5";"760.9";"";"61";"Wind blowing from the south-west";"2";"";"";"no clouds";"Haze. ";"";"";"20.6";"32.8";"";"";"";"";"";"8.0";"21.1";"";"";"";"";"";"";
"03.09.2019 12:00";"31.1";"728.5";"761.8";"";"57";"Wind blowing from the west-southwest";"5";"";"";"no clouds";" ";"";"";"20.6";"31.1";"";"";"";"";"";"16.0";"21.7";"";"";"";"";"";"";
"03.09.2019 06:00";"20.6";"728.0";"761.5";"";"93";"Wind blowing from the south";"3";"";"";"no clouds";" ";"";"";"20.6";"32.8";"";"";"";"";"";"12.0";"19.4";"";"";"";"";"";"";
"03.09.2019 00:00";"23.3";"728.7";"762.1";"";"82";"Wind blowing from the south";"4";"";"";"no clouds";" ";"";"";"19.4";"29.4";"";"";"";"";"";"16.0";"20.0";"";"";"";"";"";"";
"02.09.2019 18:00";"29.4";"728.5";"762.0";"";"61";"Wind blowing from the south-southwest";"2";"";"";"no clouds";" ";"";"";"19.4";"32.8";"";"";"";"";"";"16.0";"21.1";"";"";"";"";"";"";
"02.09.2019 12:00";"29.4";"730.7";"764.2";"";"63";"";"2";"";"";"20–30%.";" ";"";"";"20.0";"29.4";"";"";"1000-1500";"";"";"16.0";"21.7";"";"";"";"";"";"";
"02.09.2019 06:00";"20.0";"730.9";"764.5";"";"93";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.4";"29.4";"";"";"";"";"";"16.0";"18.9";"";"";"";"";"";"";
"02.09.2019 00:00";"21.1";"730.4";"764.1";"";"90";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.3";"27.2";"";"";"";"";"";"16.0";"19.4";"";"";"";"";"";"";
"01.09.2019 18:00";"27.8";"729.4";"763.2";"";"63";"Wind blowing from the north";"3";"";"";"no clouds";" ";"";"";"18.3";"29.4";"";"";"";"";"";"16.0";"20.0";"";"";"";"";"";"";
"01.09.2019 12:00";"26.1";"730.9";"764.8";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.3";"26.1";"";"";"";"";"";"16.0";"19.4";"";"";"";"";"";"";
"01.09.2019 06:00";"18.9";"730.9";"764.8";"";"93";"Wind blowing from the north-northeast";"2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog in patches. ";"";"";"18.3";"22.8";"";"";"50-100";"";"";"0.8";"17.8";"";"";"";"";"";"";
"01.09.2019 00:00";"19.4";"730.7";"764.8";"";"93";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.7";"22.2";"";"";"";"";"";"16.0";"18.3";"";"";"";"";"";"";
"31.08.2019 18:00";"22.2";"730.0";"763.8";"";"76";"Wind blowing from the east";"3";"";"";"100%.";" ";"";"";"16.7";"22.8";"";"";"600-1000";"";"";"16.0";"17.8";"";"";"";"";"";"";
"31.08.2019 12:00";"20.6";"731.2";"765.2";"";"78";"Wind blowing from the west-southwest";"3";"";"";"100%.";" ";"";"";"16.7";"20.6";"";"";"300-600";"";"";"16.0";"16.7";"";"";"";"";"";"";
"31.08.2019 06:00";"16.7";"730.4";"764.6";"";"93";"Wind blowing from the north-northwest";"2";"";"";"100%.";"Mist. ";"";"";"16.7";"";"";"";"100-200";"";"";"8.0";"15.6";"";"";"";"";"";"";
"31.08.2019 00:00";"17.2";"730.7";"764.8";"";"84";"Wind blowing from the north-east";"2";"";"";"100%.";" ";"";"";"16.7";"24.4";"";"";"200-300";"";"";"16.0";"14.4";"";"";"";"";"";"";
"30.08.2019 18:00";"18.3";"730.0";"764.0";"";"87";"Wind blowing from the north";"6";"10";"";"100%.";" ";"";"";"18.3";"23.3";"";"";"300-600";"";"";"16.0";"16.1";"0.5";"6";"";"";"";"";
"30.08.2019 12:00";"21.7";"729.0";"762.5";"";"84";"Wind blowing from the west-southwest";"5";"";"";"100%.";" ";"";"";"20.0";"24.4";"";"";"200-300";"";"";"16.0";"18.9";"Trace of precipitation";"6";"";"";"";"";
"30.08.2019 06:00";"20.0";"728.2";"761.8";"";"90";"Wind blowing from the east-southeast";"5";"";"";"20–30%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"";"";"20.0";"32.2";"";"";"2500 or more, or no clouds.";"";"";"16.0";"18.3";"5.0";"6";"";"";"";"";
"30.08.2019 00:00";"24.4";"728.7";"762.0";"";"82";"Wind blowing from the south";"5";"";"";"20–30%.";" ";"";"";"17.2";"28.9";"";"";"2500 or more, or no clouds.";"";"";"16.0";"21.1";"";"";"";"";"";"";
"29.08.2019 18:00";"28.9";"727.5";"761.1";"";"67";"Wind blowing from the south";"3";"";"";"100%.";" ";"";"";"17.2";"32.2";"";"";"1000-1500";"";"";"16.0";"22.2";"";"";"";"";"";"";
"29.08.2019 12:00";"30.0";"729.0";"762.4";"";"65";"Wind blowing from the south-southwest";"4";"";"";"50%.";" ";"";"";"17.8";"30.0";"";"";"600-1000";"";"";"16.0";"22.8";"";"";"";"";"";"";
"29.08.2019 06:00";"17.8";"729.7";"763.5";"";"81";"Wind blowing from the south-southeast";"4";"";"";"no clouds";" ";"";"";"17.2";"29.4";"";"";"";"";"";"16.0";"14.4";"";"";"";"";"";"";
"29.08.2019 00:00";"18.9";"729.4";"763.1";"";"78";"Wind blowing from the south-southeast";"5";"";"";"no clouds";" ";"";"";"17.2";"26.7";"";"";"";"";"";"16.0";"15.0";"";"";"";"";"";"";
"28.08.2019 18:00";"26.7";"729.0";"762.7";"";"49";"Wind blowing from the south-southwest";"3";"";"";"no clouds";" ";"";"";"17.2";"29.4";"";"";"";"";"";"16.0";"15.0";"";"";"";"";"";"";
"28.08.2019 12:00";"27.8";"731.2";"764.8";"";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.2";"28.3";"";"";"";"";"";"16.0";"12.2";"";"";"";"";"";"";
"28.08.2019 06:00";"17.8";"730.9";"764.8";"";"90";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"17.2";"27.8";"";"";"";"";"";"16.0";"16.1";"";"";"";"";"";"";
"28.08.2019 00:00";"20.0";"730.0";"763.6";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.9";"25.0";"";"";"";"";"";"16.0";"17.2";"";"";"";"";"";"";
"27.08.2019 18:00";"24.4";"728.2";"761.9";"";"67";"Wind blowing from the north-northwest";"2";"";"";"no clouds";" ";"";"";"20.6";"27.8";"";"";"";"";"";"16.0";"17.8";"";"";"";"";"";"";
"27.08.2019 12:00";"26.7";"728.0";"761.6";"";"62";"Wind blowing from the north";"5";"";"";"70 – 80%.";" ";"";"";"20.6";"26.7";"";"";"600-1000";"";"";"16.0";"18.9";"";"";"";"";"";"";
"27.08.2019 06:00";"20.6";"726.5";"760.0";"";"90";"Wind blowing from the north";"4";"";"";"100%.";" ";"";"";"20.6";"28.3";"";"";"300-600";"";"";"14.0";"18.9";"";"";"";"";"";"";
"27.08.2019 00:00";"22.8";"723.8";"757.0";"";"90";"Wind blowing from the north";"2";"";"";"70 – 80%.";" ";"";"";"21.7";"25.6";"";"";"100-200";"";"";"16.0";"21.1";"10.0";"6";"";"";"";"";
"26.08.2019 18:00";"25.6";"721.4";"754.6";"";"71";"Wind blowing from the south";"5";"";"";"no clouds";" ";"";"";"21.7";"28.3";"";"";"";"";"";"16.0";"20.0";"3.0";"6";"";"";"";"";
"26.08.2019 12:00";"28.3";"722.8";"756.1";"";"72";"Wind blowing from the south-southeast";"4";"";"";"70 – 80%.";" ";"";"";"20.0";"28.3";"";"";"1500-2000";"";"";"16.0";"22.8";"";"";"";"";"";"";
"26.08.2019 06:00";"22.2";"722.6";"756.0";"";"94";"Wind blowing from the south";"4";"";"";"100%.";" ";"";"";"21.7";"25.6";"";"";"100-200";"";"";"12.0";"21.1";"";"";"";"";"";"";
"26.08.2019 00:00";"22.8";"723.4";"756.7";"";"94";"Wind blowing from the south";"4";"";"";"100%.";" ";"";"";"20.0";"23.9";"";"";"100-200";"";"";"16.0";"21.7";"";"";"";"";"";"";
"25.08.2019 18:00";"23.9";"723.4";"756.9";"";"79";"Wind blowing from the south";"3";"";"";"70 – 80%.";" ";"";"";"20.0";"25.6";"";"";"2500 or more, or no clouds.";"";"";"16.0";"20.0";"13.0";"6";"";"";"";"";
"25.08.2019 12:00";"25.0";"725.3";"758.8";"";"77";"Wind blowing from the south";"4";"";"";"100%.";" ";"";"";"20.0";"25.6";"";"";"300-600";"";"";"16.0";"20.6";"";"";"";"";"";"";
"25.08.2019 06:00";"20.0";"726.3";"760.0";"";"87";"Wind blowing from the south-southeast";"6";"";"";"100%.";" ";"";"";"20.0";"22.8";"";"";"200-300";"";"";"16.0";"17.8";"";"";"";"";"";"";
"25.08.2019 00:00";"20.0";"728.0";"761.8";"";"84";"Wind blowing from the south-east";"5";"";"";"100%.";" ";"";"";"20.0";"22.2";"";"";"300-600";"";"";"16.0";"17.2";"";"";"";"";"";"";
"24.08.2019 18:00";"22.2";"728.0";"761.8";"";"82";"Wind blowing from the east-southeast";"4";"";"";"100%.";" ";"";"";"20.0";"22.8";"";"";"300-600";"";"";"16.0";"18.9";"";"";"";"";"";"";
"24.08.2019 12:00";"22.2";"729.0";"762.7";"";"82";"Wind blowing from the south-east";"7";"";"";"70 – 80%.";" ";"";"";"18.9";"22.2";"";"";"300-600";"";"";"16.0";"18.9";"5.0";"6";"";"";"";"";
"24.08.2019 06:00";"20.0";"729.4";"763.2";"";"81";"Wind blowing from the east";"3";"";"";"100%.";" ";"";"";"20.0";"26.1";"";"";"300-600";"";"";"16.0";"16.7";"";"";"";"";"";"";
"24.08.2019 00:00";"22.2";"729.0";"762.7";"";"91";"Wind blowing from the east-southeast";"4";"";"";"100%.";" ";"";"";"21.7";"25.0";"";"";"600-1000";"";"";"16.0";"20.6";"6.0";"6";"";"";"";"";
"23.08.2019 18:00";"25.0";"727.7";"761.2";"";"77";"Wind blowing from the east";"5";"";"";"70 – 80%.";" ";"";"";"21.7";"26.1";"";"";"600-1000";"";"";"16.0";"20.6";"";"";"";"";"";"";
"23.08.2019 12:00";"24.4";"729.0";"762.5";"";"82";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"21.7";"25.0";"";"";"1000-1500";"";"";"16.0";"21.1";"";"";"";"";"";"";
"23.08.2019 06:00";"21.7";"728.2";"761.8";"";"94";"Wind blowing from the south-southwest";"2";"";"";"100%.";" ";"";"";"21.7";"27.8";"";"";"1000-1500";"";"";"16.0";"20.6";"0.3";"6";"";"";"";"";
"23.08.2019 00:00";"23.3";"727.5";"760.9";"";"85";"Wind blowing from the east-southeast";"3";"";"";"50%.";" ";"";"";"21.1";"26.1";"";"";"600-1000";"";"";"16.0";"20.6";"";"";"";"";"";"";
"22.08.2019 18:00";"26.1";"726.3";"759.7";"";"74";"Wind blowing from the north-east";"4";"";"";"no clouds";" ";"";"";"21.1";"27.8";"";"";"";"";"";"16.0";"21.1";"";"";"";"";"";"";
"22.08.2019 12:00";"25.0";"727.7";"761.3";"";"74";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"21.7";"25.6";"";"";"300-600";"";"";"16.0";"20.0";"1.0";"6";"";"";"";"";
"22.08.2019 06:00";"21.7";"727.7";"761.4";"";"94";"Wind blowing from the south-east";"4";"";"";"20–30%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"21.1";"34.4";"";"";"2500 or more, or no clouds.";"";"";"11.0";"20.6";"7.0";"6";"";"";"";"";
"22.08.2019 00:00";"21.7";"728.7";"762.2";"";"94";"Wind blowing from the east";"6";"";"";"100%.";"Mist. ";"";"";"21.7";"26.1";"";"";"1000-1500";"";"";"3.2";"20.6";"10.0";"6";"";"";"";"";
"21.08.2019 18:00";"26.1";"726.5";"760.1";"";"67";"Wind blowing from the south";"6";"11";"";"no clouds";" ";"";"";"21.7";"34.4";"";"";"";"";"";"16.0";"19.4";"";"";"";"";"";"";
"21.08.2019 12:00";"30.6";"729.2";"762.6";"";"63";"Wind blowing from the west-southwest";"3";"";"";"no clouds";" ";"";"";"22.2";"30.6";"";"";"";"";"";"16.0";"22.8";"";"";"";"";"";"";
"21.08.2019 06:00";"22.2";"728.2";"761.9";"";"82";"Wind blowing from the south-southeast";"3";"";"";"no clouds";" ";"";"";"21.7";"36.1";"";"";"";"";"";"16.0";"18.9";"";"";"";"";"";"";
"21.08.2019 00:00";"22.2";"728.5";"761.8";"";"87";"Wind blowing from the south";"3";"";"";"no clouds";" ";"";"";"22.2";"27.2";"";"";"";"";"";"16.0";"20.0";"";"";"";"";"";"";
"20.08.2019 18:00";"26.7";"728.2";"761.7";"";"67";"Wind blowing from the south";"6";"";"";"50%.";" ";"";"";"23.9";"36.1";"";"";"1000-1500";"";"";"16.0";"20.0";"";"";"";"";"";"";
"20.08.2019 12:00";"34.4";"728.7";"761.9";"";"52";"Wind blowing from the south-west";"5";"";"";"no clouds";" ";"";"";"23.9";"34.4";"";"";"";"";"";"16.0";"23.3";"";"";"";"";"";"";
"20.08.2019 06:00";"24.4";"728.2";"761.5";"";"85";"Wind blowing from the south";"3";"";"";"no clouds";" ";"";"";"23.9";"35.0";"";"";"";"";"";"16.0";"21.7";"";"";"";"";"";"";
"20.08.2019 00:00";"27.2";"728.5";"761.7";"";"72";"Wind blowing from the south-southeast";"4";"";"";"no clouds";" ";"";"";"23.9";"33.9";"";"";"";"";"";"16.0";"21.7";"";"";"";"";"";"";
"19.08.2019 18:00";"33.9";"726.7";"760.0";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.9";"35.0";"";"";"";"";"";"16.0";"23.3";"";"";"";"";"";"";
"19.08.2019 12:00";"33.9";"728.2";"761.6";"";"54";"Wind blowing from the west-southwest";"3";"";"";"no clouds";" ";"";"";"23.9";"33.9";"";"";"";"";"";"16.0";"23.3";"";"";"";"";"";"";
"19.08.2019 06:00";"23.9";"727.7";"761.2";"";"82";"Wind blowing from the south";"4";"";"";"20–30%.";" ";"";"";"23.9";"32.8";"";"";"1500-2000";"";"";"16.0";"20.6";"";"";"";"";"";"";
"19.08.2019 00:00";"25.0";"726.5";"759.8";"";"82";"Wind blowing from the south-southeast";"4";"";"";"no clouds";" ";"";"";"22.8";"31.1";"";"";"";"";"";"16.0";"21.7";"";"";"";"";"";"";
"18.08.2019 18:00";"31.1";"724.8";"758.0";"";"63";"Wind blowing from the north-northwest";"2";"";"";"no clouds";" ";"";"";"22.8";"32.8";"";"";"";"";"";"16.0";"23.3";"";"";"";"";"";"";
"18.08.2019 12:00";"29.4";"725.1";"758.2";"";"68";"Wind blowing from the south-west";"6";"";"";"no clouds";" ";"";"";"21.7";"30.0";"";"";"";"";"";"16.0";"22.8";"1.0";"6";"";"";"";"";
"18.08.2019 06:00";"22.8";"726.3";"759.5";"";"81";"Wind blowing from the west-northwest";"5";"11";"";"50%.";" ";"";"";"22.8";"32.2";"";"";"1000-1500";"";"";"16.0";"19.4";"0.3";"6";"";"";"";"";
"18.08.2019 00:00";"26.1";"724.3";"757.5";"";"72";"Wind blowing from the south-southeast";"6";"";"";"no clouds";" ";"";"";"22.2";"30.6";"";"";"";"";"";"16.0";"20.6";"";"";"";"";"";"";
"17.08.2019 18:00";"30.6";"722.6";"755.8";"";"57";"Wind blowing from the south-southeast";"7";"10";"";"20–30%.";" ";"";"";"22.2";"32.2";"";"";"2500 or more, or no clouds.";"";"";"16.0";"21.1";"";"";"";"";"";"";
"17.08.2019 12:00";"28.3";"725.3";"758.6";"";"61";"Wind blowing from the south-southwest";"5";"";"";"no clouds";" ";"";"";"21.7";"29.4";"";"";"";"";"";"16.0";"20.0";"";"";"";"";"";"";
"17.08.2019 06:00";"22.2";"726.1";"759.5";"";"87";"Wind blowing from the south-southeast";"4";"";"";"no clouds";" ";"";"";"";"25.6";"";"";"";"";"";"16.0";"20.0";"";"";"";"";"";"";
"17.08.2019 00:00";"22.2";"725.1";"758.7";"";"91";"Wind blowing from the south-southeast";"5";"";"";"no clouds";" ";"";"";"19.4";"25.0";"";"";"";"";"";"16.0";"20.6";"";"";"";"";"";"";
"16.08.2019 18:00";"23.3";"724.8";"758.2";"";"79";"Wind blowing from the south";"3";"";"";"no clouds";" ";"";"";"19.4";"25.6";"";"";"";"";"";"16.0";"19.4";"4.0";"6";"";"";"";"";
"16.08.2019 12:00";"21.7";"727.5";"761.1";"";"76";"Wind blowing from the west";"6";"10";"";"70 – 80%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"20.0";"25.0";"";"";"1500-2000";"";"";"16.0";"17.2";"5.0";"6";"";"";"";"";
"16.08.2019 06:00";"20.0";"727.5";"761.1";"";"90";"Wind blowing from the south-southeast";"5";"";"";"50%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"19.4";"32.8";"";"";"1500-2000";"";"";"12.0";"18.3";"7.0";"6";"";"";"";"";
"16.08.2019 00:00";"25.0";"726.3";"759.5";"";"74";"Wind blowing from the south-southeast";"5";"";"";"no clouds";" ";"";"";"18.9";"30.6";"";"";"";"";"";"16.0";"20.0";"";"";"";"";"";"";
"15.08.2019 18:00";"30.6";"726.5";"760.0";"";"50";"Wind blowing from the south-southeast";"2";"";"";"no clouds";" ";"";"";"18.9";"32.8";"";"";"";"";"";"16.0";"18.9";"";"";"";"";"";"";
"15.08.2019 12:00";"29.4";"729.2";"762.8";"";"51";"";"2";"";"";"no clouds";" ";"";"";"18.9";"30.0";"";"";"";"";"";"16.0";"18.3";"";"";"";"";"";"";
"15.08.2019 06:00";"18.9";"729.7";"763.3";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.9";"32.2";"";"";"";"";"";"16.0";"16.7";"";"";"";"";"";"";
"15.08.2019 00:00";"20.6";"729.2";"762.9";"";"87";"Wind blowing from the south";"2";"";"";"no clouds";" ";"";"";"20.0";"29.4";"";"";"";"";"";"16.0";"18.3";"";"";"";"";"";"";
"14.08.2019 18:00";"29.4";"728.2";"761.6";"";"53";"Wind blowing from the north-northwest";"4";"";"";"no clouds";" ";"";"";"20.0";"32.2";"";"";"";"";"";"16.0";"18.9";"";"";"";"";"";"";
"14.08.2019 12:00";"30.0";"729.7";"763.2";"";"51";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"20.0";"30.6";"";"";"";"";"";"16.0";"18.9";"";"";"";"";"";"";
"14.08.2019 06:00";"20.0";"729.0";"762.4";"";"93";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"20.0";"30.6";"";"";"";"";"";"16.0";"18.9";"";"";"";"";"";"";
"14.08.2019 00:00";"21.7";"728.5";"762.0";"";"90";"Wind blowing from the north-northwest";"2";"";"";"no clouds";" ";"";"";"21.7";"30.0";"";"";"";"";"";"16.0";"20.0";"";"";"";"";"";"";
"13.08.2019 18:00";"30.0";"726.5";"759.8";"";"63";"Wind blowing from the north-northwest";"5";"";"";"20–30%.";" ";"";"";"22.8";"30.6";"";"";"1000-1500";"";"";"16.0";"22.2";"";"";"";"";"";"";
"13.08.2019 12:00";"28.3";"727.3";"760.4";"";"70";"Wind blowing from the north-northwest";"5";"";"";"20–30%.";" ";"";"";"23.3";"30.0";"";"";"600-1000";"";"";"16.0";"22.2";"";"";"";"";"";"";
"13.08.2019 06:00";"22.8";"725.5";"758.8";"";"90";"Wind blowing from the south-southwest";"3";"";"";"50%.";" ";"";"";"22.8";"35.6";"";"";"2500 or more, or no clouds.";"";"";"16.0";"21.1";"";"";"";"";"";"";
"13.08.2019 00:00";"26.7";"724.3";"757.3";"";"85";"Wind blowing from the south-southwest";"3";"";"";"no clouds";" ";"";"";"24.4";"33.3";"";"";"";"";"";"16.0";"23.9";"";"";"";"";"";"";
"12.08.2019 18:00";"33.3";"723.4";"756.4";"";"58";"Wind blowing from the south-west";"5";"";"";"no clouds";" ";"";"";"24.4";"35.6";"";"";"";"";"";"16.0";"23.9";"";"";"";"";"";"";
"12.08.2019 12:00";"33.9";"725.1";"758.0";"";"54";"Wind blowing from the south";"5";"";"";"no clouds";" ";"";"";"24.4";"33.9";"";"";"";"";"";"16.0";"23.3";"";"";"";"";"";"";
"12.08.2019 06:00";"24.4";"725.5";"758.9";"";"91";"Wind blowing from the south";"2";"";"";"no clouds";" ";"";"";"24.4";"31.7";"";"";"";"";"";"14.0";"22.8";"";"";"";"";"";"";
"12.08.2019 00:00";"26.1";"726.1";"759.4";"";"85";"Wind blowing from the south";"5";"";"";"no clouds";" ";"";"";"25.6";"30.6";"";"";"";"";"";"16.0";"23.3";"";"";"";"";"";"";
"11.08.2019 18:00";"30.6";"725.8";"759.1";"";"70";"Wind blowing from the south";"7";"";"";"no clouds";" ";"";"";"25.6";"31.7";"";"";"";"";"";"16.0";"24.4";"";"";"";"";"";"";
"11.08.2019 12:00";"28.3";"728.0";"761.5";"";"77";"Wind blowing from the south-east";"4";"";"";"20–30%.";" ";"";"";"25.6";"28.3";"";"";"300-600";"";"";"16.0";"23.9";"";"";"";"";"";"";
"11.08.2019 06:00";"25.6";"727.7";"761.0";"";"93";"Wind blowing from the south";"3";"";"";"50%.";" ";"";"";"25.6";"32.8";"";"";"1500-2000";"";"";"14.0";"24.4";"";"";"";"";"";"";
