# Weather station Newark (airport), USA, WMO_ID=72502,selection from 29.11.2018 till 30.11.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=72502&lang=en
#
"Local time in Newark (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"04.09.2019 07:00";"20.6";"761.1";"761.6";"";"93";"Wind blowing from the south-southwest";"3";"";"";"100%.";" ";"";"";"19.4";"27.8";"";"";"200-300";"";"";"16.0";"19.4";"";"";"";"";"";"";
"04.09.2019 01:00";"20.6";"761.6";"762.3";"";"84";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"18.9";"23.9";"";"";"2500 or more, or no clouds.";"";"";"16.0";"17.8";"";"";"";"";"";"";
"03.09.2019 19:00";"23.9";"761.6";"762.1";"";"58";"Wind blowing from the south-southeast";"3";"";"";"50%.";" ";"";"";"18.9";"27.8";"";"";"1500-2000";"";"";"16.0";"15.0";"";"";"";"";"";"";
"03.09.2019 13:00";"27.2";"762.1";"762.6";"";"41";"";"2";"";"";"50%.";" ";"";"";"21.1";"27.2";"";"";"1500-2000";"";"";"16.0";"12.8";"";"";"";"";"";"";
"03.09.2019 07:00";"21.1";"762.4";"763.0";"";"76";"Wind blowing from the north-northwest";"4";"";"";"20–30%.";" ";"";"";"18.9";"25.0";"";"";"300-600";"";"";"16.0";"16.7";"";"";"";"";"";"";
"03.09.2019 01:00";"21.1";"760.8";"761.4";"";"90";"Wind blowing from the west-northwest";"3";"";"";"50%.";" ";"";"";"20.6";"23.9";"";"";"1000-1500";"";"";"16.0";"19.4";"1.0";"6";"";"";"";"";
"02.09.2019 19:00";"23.3";"760.3";"761.0";"";"88";"Wind blowing from the south-southeast";"3";"";"";"70 – 80%.";" ";"";"";"21.1";"25.0";"";"";"1500-2000";"";"";"16.0";"21.1";"23.0";"6";"";"";"";"";
"02.09.2019 13:00";"24.4";"761.1";"761.7";"";"85";"Wind blowing from the south-southeast";"2";"";"";"70 – 80%.";" ";"";"";"21.7";"24.4";"";"";"300-600";"";"";"16.0";"21.7";"6.0";"6";"";"";"";"";
"02.09.2019 07:00";"22.2";"764.1";"764.8";"";"73";"Wind blowing from the south-east";"3";"";"";"70 – 80%.";" ";"";"";"21.1";"";"";"";"600-1000";"";"";"16.0";"17.2";"";"";"";"";"";"";
"02.09.2019 01:00";"21.7";"766.2";"766.7";"";"73";"Wind blowing from the south-east";"2";"";"";"70 – 80%.";" ";"";"";"";"22.2";"";"";"1000-1500";"";"";"16.0";"16.7";"";"";"";"";"";"";
"01.09.2019 19:00";"22.2";"768.2";"768.7";"";"68";"Wind blowing from the south-southeast";"4";"";"";"50%.";" ";"";"";"16.7";"";"";"";"1000-1500";"";"";"16.0";"16.1";"";"";"";"";"";"";
"01.09.2019 07:00";"18.9";"769.7";"770.2";"";"65";"Wind blowing from the north-northeast";"4";"";"";"70 – 80%.";" ";"";"";"16.7";"28.3";"";"";"2500 or more, or no clouds.";"";"";"16.0";"12.2";"";"";"";"";"";"";
"01.09.2019 01:00";"20.0";"769.0";"769.6";"";"55";"Wind blowing from the north-northeast";"5";"";"";"70 – 80%.";" ";"";"";"19.4";"27.8";"";"";"2500 or more, or no clouds.";"";"";"16.0";"10.6";"";"";"";"";"";"";
"31.08.2019 19:00";"25.0";"767.2";"767.8";"";"33";"Wind blowing from the north-northwest";"5";"";"";"70 – 80%.";" ";"";"";"21.1";"28.3";"";"";"2500 or more, or no clouds.";"";"";"16.0";"7.8";"";"";"";"";"";"";
"31.08.2019 13:00";"27.8";"766.6";"767.2";"";"34";"Wind blowing from the west-northwest";"3";"";"";"70 – 80%.";" ";"";"";"21.1";"27.8";"";"";"1500-2000";"";"";"16.0";"10.6";"";"";"";"";"";"";
"31.08.2019 07:00";"21.1";"766.6";"767.2";"";"66";"Wind blowing from the north";"2";"";"";"70 – 80%.";" ";"";"";"20.0";"31.7";"";"";"2000-2500";"";"";"16.0";"14.4";"";"";"";"";"";"";
"31.08.2019 01:00";"23.3";"763.6";"764.2";"";"69";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"16.1";"28.3";"";"";"1500-2000";"";"";"16.0";"17.2";"";"";"";"";"";"";
"30.08.2019 19:00";"28.3";"761.3";"762.0";"";"49";"Wind blowing from the west";"4";"";"";"20–30%.";" ";"";"";"16.1";"31.7";"";"";"1500-2000";"";"";"16.0";"16.7";"";"";"";"";"";"";
"30.08.2019 13:00";"30.6";"761.1";"761.6";"";"39";"Wind blowing from the south-west";"8";"";"";"20–30%.";" ";"";"";"19.4";"30.6";"";"";"1500-2000";"";"";"16.0";"15.0";"";"";"";"";"";"";
"30.08.2019 07:00";"19.4";"762.1";"762.8";"";"71";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"16.1";"28.9";"";"";"";"";"";"16.0";"13.9";"";"";"";"";"";"";
"30.08.2019 01:00";"18.9";"761.1";"761.8";"";"68";"Wind blowing from the south-west";"3";"";"";"no clouds";" ";"";"";"18.9";"25.0";"";"";"";"";"";"16.0";"12.8";"";"";"";"";"";"";
"29.08.2019 19:00";"25.0";"759.8";"760.6";"";"40";"Wind blowing from the north-west";"4";"";"";"20–30%.";" ";"";"";"19.4";"28.9";"";"";"2500 or more, or no clouds.";"";"";"16.0";"10.6";"";"";"";"";"";"";
"29.08.2019 13:00";"28.3";"758.5";"759.2";"";"37";"Wind blowing from the west";"6";"12";"";"50%.";" ";"";"";"21.7";"28.3";"";"";"1500-2000";"";"";"16.0";"12.2";"";"";"";"";"";"";
"29.08.2019 07:00";"21.7";"757.8";"758.5";"";"59";"Wind blowing from the north-northwest";"6";"";"";"20–30%.";" ";"";"";"19.4";"25.0";"";"";"2500 or more, or no clouds.";"";"";"16.0";"13.3";"";"";"";"";"";"";
"29.08.2019 01:00";"20.6";"756.7";"757.3";"";"78";"Wind blowing from the west-northwest";"4";"";"";"70 – 80%.";" ";"";"";"19.4";"23.3";"";"";"2500 or more, or no clouds.";"";"";"16.0";"16.7";"0.3";"6";"";"";"";"";
"28.08.2019 19:00";"23.3";"756.3";"756.9";"";"88";"Wind blowing from the north-west";"2";"";"";"100%.";" ";"";"";"19.4";"25.0";"";"";"300-600";"";"";"16.0";"21.1";"0.3";"6";"";"";"";"";
"28.08.2019 13:00";"24.4";"757.3";"758.0";"";"79";"";"3";"";"";"100%.";" ";"";"";"20.6";"25.0";"";"";"300-600";"";"";"12.0";"20.6";"Trace of precipitation";"6";"";"";"";"";
"28.08.2019 07:00";"21.1";"759.8";"760.3";"";"82";"Wind blowing from the north-northeast";"3";"";"";"70 – 80%.";" ";"";"";"19.4";"";"";"";"300-600";"";"";"16.0";"17.8";"";"";"";"";"";"";
"28.08.2019 01:00";"20.6";"761.1";"761.8";"";"84";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"15.6";"20.6";"";"";"300-600";"";"";"16.0";"17.8";"";"";"";"";"";"";
"27.08.2019 19:00";"20.6";"761.6";"762.3";"";"70";"Wind blowing from the south-east";"3";"";"";"70 – 80%.";" ";"";"";"15.6";"23.3";"";"";"2500 or more, or no clouds.";"";"";"16.0";"15.0";"";"";"";"";"";"";
"27.08.2019 13:00";"22.8";"762.6";"763.3";"";"55";"";"3";"";"";"70 – 80%.";" ";"";"";"18.3";"23.3";"";"";"600-1000";"";"";"16.0";"13.3";"";"";"";"";"";"";
"27.08.2019 07:00";"18.9";"763.9";"764.5";"";"78";"Wind blowing from the north-northeast";"2";"";"";"70 – 80%.";" ";"";"";"";"23.9";"";"";"300-600";"";"";"16.0";"15.0";"";"";"";"";"";"";
"27.08.2019 01:00";"20.0";"764.6";"765.3";"";"68";"Wind blowing from the east";"2";"";"";"50%.";" ";"";"";"15.0";"20.6";"";"";"600-1000";"";"";"16.0";"13.9";"";"";"";"";"";"";
"26.08.2019 19:00";"20.6";"764.9";"765.4";"";"66";"Wind blowing from the south-southeast";"4";"";"";"70 – 80%.";" ";"";"";"15.0";"23.9";"";"";"1000-1500";"";"";"16.0";"13.9";"";"";"";"";"";"";
"26.08.2019 13:00";"23.3";"766.4";"767.1";"";"41";"Wind blowing from the north-northeast";"5";"8";"";"50%.";" ";"";"";"16.1";"23.3";"";"";"1000-1500";"";"";"16.0";"9.4";"";"";"";"";"";"";
"26.08.2019 07:00";"16.1";"767.4";"768.1";"";"75";"Wind blowing from the north";"6";"";"";"100%.";" ";"";"";"15.0";"25.0";"";"";"600-1000";"";"";"16.0";"11.7";"";"";"";"";"";"";
"26.08.2019 01:00";"17.2";"766.6";"767.3";"";"70";"Wind blowing from the north-northeast";"6";"";"";"no clouds";" ";"";"";"16.7";"22.2";"";"";"";"";"";"16.0";"11.7";"";"";"";"";"";"";
"25.08.2019 19:00";"22.2";"766.9";"767.5";"";"53";"Wind blowing from the east-northeast";"4";"";"";"70 – 80%.";" ";"";"";"16.7";"25.0";"";"";"1000-1500";"";"";"16.0";"12.2";"";"";"";"";"";"";
"25.08.2019 13:00";"23.3";"767.4";"768.0";"";"48";"Wind blowing from the north-northeast";"6";"";"";"70 – 80%.";" ";"";"";"17.2";"24.4";"";"";"1500-2000";"";"";"16.0";"11.7";"";"";"";"";"";"";
"25.08.2019 07:00";"17.2";"767.9";"768.6";"";"81";"Wind blowing from the north-northeast";"6";"";"";"70 – 80%.";" ";"";"";"16.7";"25.6";"";"";"600-1000";"";"";"16.0";"13.9";"";"";"";"";"";"";
"25.08.2019 01:00";"20.6";"767.2";"767.8";"";"68";"Wind blowing from the east-northeast";"4";"";"";"70 – 80%.";" ";"";"";"17.2";"22.8";"";"";"1500-2000";"";"";"16.0";"14.4";"";"";"";"";"";"";
"24.08.2019 19:00";"21.1";"766.2";"766.6";"";"47";"Wind blowing from the north-northeast";"4";"";"";"50%.";" ";"";"";"17.2";"25.6";"";"";"2000-2500";"";"";"16.0";"9.4";"";"";"";"";"";"";
"24.08.2019 13:00";"24.4";"765.7";"766.2";"";"37";"Wind blowing from the north";"7";"";"";"50%.";" ";"";"";"18.9";"25.0";"";"";"1500-2000";"";"";"16.0";"8.9";"";"";"";"";"";"";
"24.08.2019 07:00";"18.9";"765.4";"766.0";"";"63";"Wind blowing from the north";"6";"";"";"20–30%.";" ";"";"";"17.2";"23.9";"";"";"2000-2500";"";"";"16.0";"11.7";"";"";"";"";"";"";
"24.08.2019 01:00";"19.4";"763.1";"763.6";"";"63";"Wind blowing from the north";"5";"";"";"50%.";" ";"";"";"19.4";"23.3";"";"";"1500-2000";"";"";"16.0";"12.2";"";"";"";"";"";"";
"23.08.2019 19:00";"23.3";"761.3";"762.0";"";"62";"Wind blowing from the north-west";"4";"";"";"70 – 80%.";" ";"";"";"20.6";"23.9";"";"";"1000-1500";"";"";"16.0";"15.6";"Trace of precipitation";"6";"";"";"";"";
"23.08.2019 13:00";"22.2";"761.6";"762.2";"";"64";"Wind blowing from the west-northwest";"4";"8";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"18.3";"23.3";"";"";"600-1000";"";"";"16.0";"15.0";"0.3";"6";"";"";"";"";
"23.08.2019 07:00";"20.6";"761.6";"762.1";"";"70";"Wind blowing from the north";"4";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"20.6";"33.3";"";"";"600-1000";"";"";"16.0";"15.0";"Trace of precipitation";"6";"";"";"";"";
"23.08.2019 01:00";"22.8";"759.3";"760.0";"";"94";"Wind blowing from the west";"3";"";"";"100%.";" ";"";"";"21.7";"28.9";"";"";"200-300";"";"";"16.0";"21.7";"29.0";"6";"";"";"";"";
"22.08.2019 19:00";"28.9";"757.3";"758.0";"";"59";"Wind blowing from the north-east";"4";"";"";"70 – 80%.";" ";"";"";"23.3";"33.3";"";"";"1500-2000";"";"";"16.0";"20.0";"";"";"";"";"";"";
"22.08.2019 13:00";"32.8";"758.0";"758.6";"";"45";"Wind blowing from the west";"6";"9";"";"70 – 80%.";" ";"";"";"23.3";"32.8";"";"";"1000-1500";"";"";"16.0";"19.4";"";"";"";"";"";"";
"22.08.2019 07:00";"24.4";"758.0";"758.7";"";"85";"Wind blowing from the south-west";"3";"";"";"70 – 80%.";" ";"";"";"23.3";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"21.7";"";"";"";"";"";"";
"22.08.2019 01:00";"25.0";"757.8";"758.3";"";"85";"Wind blowing from the south-west";"4";"";"";"70 – 80%.";" ";"";"";"24.4";"26.7";"";"";"2500 or more, or no clouds.";"";"";"16.0";"22.2";"";"";"";"";"";"";
"21.08.2019 19:00";"25.6";"757.5";"758.2";"";"82";"Wind blowing from the south-southwest";"2";"";"";"70 – 80%.";" ";"";"";"23.3";"31.7";"";"";"1000-1500";"";"";"16.0";"22.2";"13.0";"6";"";"";"";"";
"21.08.2019 13:00";"31.1";"758.3";"758.8";"";"59";"Wind blowing from the south-southwest";"5";"8";"";"70 – 80%.";" ";"";"";"25.0";"31.1";"";"";"600-1000";"";"";"16.0";"22.2";"";"";"";"";"";"";
"21.08.2019 07:00";"25.0";"760.8";"761.4";"";"90";"";"2";"";"";"70 – 80%.";" ";"";"";"24.4";"30.6";"";"";"100-200";"";"";"11.0";"23.3";"";"";"";"";"";"";
"21.08.2019 01:00";"25.0";"762.1";"762.7";"";"82";"Wind blowing from the south";"3";"";"";"50%.";" ";"";"";"23.3";"27.8";"";"";"600-1000";"";"";"16.0";"21.7";"";"";"";"";"";"";
"20.08.2019 19:00";"27.8";"762.1";"762.6";"";"58";"Wind blowing from the south-east";"3";"";"";"70 – 80%.";" ";"";"";"23.3";"30.6";"";"";"1500-2000";"";"";"16.0";"18.9";"";"";"";"";"";"";
"20.08.2019 13:00";"30.6";"763.1";"763.8";"";"50";"Wind blowing from the south-southeast";"5";"";"";"70 – 80%.";" ";"";"";"25.6";"30.6";"";"";"1500-2000";"";"";"16.0";"18.9";"";"";"";"";"";"";
"20.08.2019 07:00";"25.6";"763.9";"764.4";"";"67";"Wind blowing from the north-northeast";"6";"";"";"70 – 80%.";" ";"";"";"23.3";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"18.9";"";"";"";"";"";"";
"20.08.2019 01:00";"24.4";"761.8";"762.4";"";"82";"Wind blowing from the south-west";"2";"";"";"50%.";" ";"";"";"22.8";"27.2";"";"";"2500 or more, or no clouds.";"";"";"16.0";"21.1";"";"";"";"";"";"";
"19.08.2019 19:00";"26.7";"760.6";"761.1";"";"67";"Wind blowing from the south";"3";"";"";"50%.";" ";"";"";"22.8";"34.4";"";"";"1000-1500";"";"";"16.0";"20.0";"";"";"";"";"";"";
"19.08.2019 13:00";"33.3";"760.3";"760.9";"";"51";"Wind blowing from the west-southwest";"5";"";"";"50%.";" ";"";"";"25.0";"33.3";"";"";"1000-1500";"";"";"16.0";"21.7";"";"";"";"";"";"";
"19.08.2019 07:00";"25.0";"761.1";"761.7";"";"85";"Wind blowing from the south-southwest";"3";"";"";"70 – 80%.";" ";"";"";"22.8";"32.2";"";"";"300-600";"";"";"16.0";"22.2";"";"";"";"";"";"";
"19.08.2019 01:00";"24.4";"760.0";"760.6";"";"74";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"23.3";"27.2";"";"";"600-1000";"";"";"16.0";"19.4";"Trace of precipitation";"6";"";"";"";"";
"18.08.2019 19:00";"27.2";"761.1";"761.8";"";"69";"Wind blowing from the west-northwest";"10";"13";"";"70 – 80%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"24.4";"32.2";"";"";"1500-2000";"";"";"16.0";"21.1";"Trace of precipitation";"6";"";"";"";"";
"18.08.2019 13:00";"31.1";"761.1";"761.6";"";"63";"";"2";"";"";"70 – 80%.";" ";"";"";"25.6";"31.7";"";"";"1000-1500";"";"";"16.0";"23.3";"";"";"";"";"";"";
"18.08.2019 07:00";"25.6";"761.8";"762.6";"";"90";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"24.4";"31.1";"";"";"200-300";"";"";"16.0";"23.9";"";"";"";"";"";"";
"18.08.2019 01:00";"25.6";"760.8";"761.5";"";"87";"";"2";"";"";"100%.";" ";"";"";"23.9";"25.6";"";"";"300-600";"";"";"16.0";"23.3";"";"";"";"";"";"";
"17.08.2019 19:00";"25.6";"760.3";"760.9";"";"82";"Wind blowing from the south-east";"3";"";"";"50%.";" ";"";"";"23.9";"31.1";"";"";"300-600";"";"";"16.0";"22.2";"";"";"";"";"";"";
"17.08.2019 13:00";"29.4";"761.6";"762.1";"";"61";"Wind blowing from the south";"3";"";"";"70 – 80%.";" ";"";"";"24.4";"29.4";"";"";"600-1000";"";"";"16.0";"21.1";"";"";"";"";"";"";
"17.08.2019 07:00";"25.0";"761.6";"762.3";"";"88";"";"2";"";"";"70 – 80%.";" ";"";"";"23.9";"";"";"";"200-300";"";"";"16.0";"22.8";"";"";"";"";"";"";
"17.08.2019 01:00";"24.4";"762.1";"762.6";"";"88";"Wind blowing from the east-southeast";"2";"";"";"100%.";" ";"";"";"21.1";"24.4";"";"";"200-300";"";"";"16.0";"22.2";"";"";"";"";"";"";
"16.08.2019 19:00";"24.4";"761.3";"761.9";"";"77";"Wind blowing from the south-southeast";"5";"";"";"70 – 80%.";" ";"";"";"21.1";"28.3";"";"";"1000-1500";"";"";"16.0";"20.0";"";"";"";"";"";"";
"16.08.2019 13:00";"26.1";"762.4";"763.0";"";"67";"";"2";"";"";"70 – 80%.";" ";"";"";"22.2";"26.1";"";"";"600-1000";"";"";"16.0";"19.4";"";"";"";"";"";"";
"16.08.2019 07:00";"22.2";"762.4";"762.8";"";"82";"Wind blowing from the north";"2";"";"";"70 – 80%.";" ";"";"";"21.1";"";"";"";"300-600";"";"";"16.0";"18.9";"";"";"";"";"";"";
"16.08.2019 01:00";"22.2";"761.8";"762.4";"";"79";"Wind blowing from the east-northeast";"3";"";"";"70 – 80%.";" ";"";"";"21.7";"24.4";"";"";"300-600";"";"";"16.0";"18.3";"";"";"";"";"";"";
"15.08.2019 19:00";"22.8";"761.3";"761.8";"";"79";"Wind blowing from the south-east";"5";"";"";"70 – 80%.";" ";"";"";"22.2";"28.3";"";"";"300-600";"";"";"16.0";"18.9";"";"";"";"";"";"";
"15.08.2019 13:00";"28.3";"761.1";"761.8";"";"55";"Wind blowing from the east-southeast";"4";"";"";"50%.";" ";"";"";"22.2";"28.3";"";"";"600-1000";"";"";"16.0";"18.3";"";"";"";"";"";"";
"15.08.2019 07:00";"24.4";"760.8";"761.5";"";"77";"Wind blowing from the east-northeast";"3";"";"";"70 – 80%.";" ";"";"";"22.2";"";"";"";"300-600";"";"";"16.0";"20.0";"";"";"";"";"";"";
"15.08.2019 01:00";"22.8";"759.8";"760.4";"";"90";"Wind blowing from the south-east";"2";"";"";"100%.";" ";"";"";"22.2";"25.0";"";"";"200-300";"";"";"11.0";"21.1";"";"";"";"";"";"";
"14.08.2019 19:00";"24.4";"757.8";"758.5";"";"82";"Wind blowing from the north-east";"2";"";"";"70 – 80%.";" ";"";"";"22.2";"28.9";"";"";"600-1000";"";"";"16.0";"21.1";"43.0";"6";"";"";"";"";
"14.08.2019 13:00";"28.3";"756.7";"757.3";"";"61";"";"2";"";"";"100%.";" ";"";"";"23.9";"28.9";"";"";"600-1000";"";"";"16.0";"20.0";"Trace of precipitation";"6";"";"";"";"";
"14.08.2019 07:00";"23.9";"756.3";"756.8";"";"84";"Wind blowing from the north-northeast";"6";"";"";"70 – 80%.";" ";"";"";"23.3";"";"";"";"2000-2500";"";"";"12.0";"21.1";"";"";"";"";"";"";
"14.08.2019 01:00";"24.4";"755.2";"755.8";"";"85";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"22.8";"25.0";"";"";"600-1000";"";"";"16.0";"21.7";"Trace of precipitation";"6";"";"";"";"";
"13.08.2019 19:00";"25.0";"755.5";"756.0";"";"79";"Wind blowing from the south-southeast";"3";"";"";"100%.";" ";"";"";"22.8";"27.2";"";"";"600-1000";"";"";"16.0";"21.1";"Trace of precipitation";"6";"";"";"";"";
"13.08.2019 13:00";"25.6";"756.5";"757.0";"";"76";"Wind blowing from the north-northeast";"4";"";"";"100%.";" ";"";"";"23.9";"26.1";"";"";"600-1000";"";"";"16.0";"21.1";"Trace of precipitation";"6";"";"";"";"";
"13.08.2019 07:00";"23.9";"756.7";"757.3";"";"76";"Wind blowing from the south-west";"5";"";"";"70 – 80%.";" ";"";"";"22.8";"31.1";"";"";"2000-2500";"";"";"16.0";"19.4";"Trace of precipitation";"6";"";"";"";"";
"13.08.2019 01:00";"24.4";"757.8";"758.3";"";"69";"Wind blowing from the south-west";"4";"";"";"70 – 80%.";" ";"";"";"17.8";"28.9";"";"";"2000-2500";"";"";"16.0";"18.3";"";"";"";"";"";"";
"12.08.2019 19:00";"28.9";"758.0";"758.7";"";"40";"Wind blowing from the west";"4";"";"";"50%.";" ";"";"";"17.8";"31.1";"";"";"2000-2500";"";"";"16.0";"13.9";"";"";"";"";"";"";
"12.08.2019 13:00";"30.0";"759.8";"760.5";"";"35";"Wind blowing from the west-southwest";"5";"";"";"50%.";" ";"";"";"21.1";"30.6";"";"";"2000-2500";"";"";"16.0";"12.8";"";"";"";"";"";"";
"12.08.2019 07:00";"21.7";"761.6";"762.1";"";"66";"Wind blowing from the south-west";"2";"";"";"50%.";" ";"";"";"17.8";"27.8";"";"";"2000-2500";"";"";"16.0";"15.0";"";"";"";"";"";"";
"12.08.2019 01:00";"18.3";"761.3";"761.9";"";"76";"Wind blowing from the south-west";"3";"";"";"20–30%.";" ";"";"";"17.2";"25.6";"";"";"2500 or more, or no clouds.";"";"";"16.0";"13.9";"";"";"";"";"";"";
"11.08.2019 19:00";"25.6";"760.8";"761.5";"";"40";"Wind blowing from the west";"4";"";"";"50%.";" ";"";"";"17.2";"27.8";"";"";"1500-2000";"";"";"16.0";"11.1";"";"";"";"";"";"";
"11.08.2019 13:00";"27.2";"761.6";"762.3";"";"33";"Wind blowing from the west";"5";"10";"";"70 – 80%.";" ";"";"";"21.1";"27.2";"";"";"1500-2000";"";"";"16.0";"9.4";"";"";"";"";"";"";
"11.08.2019 07:00";"21.1";"761.8";"762.4";"";"55";"Wind blowing from the north-northwest";"5";"";"";"no clouds";" ";"";"";"17.2";"28.9";"";"";"";"";"";"16.0";"11.7";"";"";"";"";"";"";
"11.08.2019 01:00";"20.0";"760.0";"760.6";"";"55";"Wind blowing from the west-northwest";"2";"";"";"20–30%.";" ";"";"";"18.3";"25.6";"";"";"2500 or more, or no clouds.";"";"";"16.0";"10.6";"";"";"";"";"";"";
"10.08.2019 19:00";"25.6";"758.0";"758.5";"";"37";"Wind blowing from the north-west";"7";"10";"";"20–30%.";" ";"";"";"18.3";"28.9";"";"";"2000-2500";"";"";"16.0";"10.0";"";"";"";"";"";"";
"10.08.2019 13:00";"28.3";"756.7";"757.3";"";"33";"Wind blowing from the west-northwest";"7";"12";"";"70 – 80%.";" ";"";"";"22.2";"28.3";"";"";"2000-2500";"";"";"16.0";"10.6";"";"";"";"";"";"";
"10.08.2019 07:00";"22.2";"757.3";"757.9";"";"55";"Wind blowing from the west-northwest";"5";"";"";"20–30%.";" ";"";"";"18.3";"30.0";"";"";"2500 or more, or no clouds.";"";"";"16.0";"12.8";"";"";"";"";"";"";
"10.08.2019 01:00";"21.1";"756.5";"757.1";"";"64";"Wind blowing from the west-northwest";"3";"";"";"20–30%.";" ";"";"";"20.0";"26.1";"";"";"2500 or more, or no clouds.";"";"";"16.0";"13.9";"";"";"";"";"";"";
"09.08.2019 19:00";"25.6";"755.2";"755.8";"";"60";"Wind blowing from the west";"4";"";"";"50%.";" ";"";"";"20.0";"30.0";"";"";"1500-2000";"";"";"16.0";"17.2";"Trace of precipitation";"6";"";"";"";"";
"09.08.2019 13:00";"28.9";"755.0";"755.5";"";"46";"Wind blowing from the north-northwest";"5";"";"";"50%.";" ";"";"";"19.4";"29.4";"";"";"1500-2000";"";"";"16.0";"16.1";"";"";"";"";"";"";
"09.08.2019 07:00";"22.8";"755.8";"756.4";"";"71";"Wind blowing from the west-southwest";"2";"";"";"20–30%.";" ";"";"";"19.4";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"17.2";"";"";"";"";"";"";
"09.08.2019 01:00";"20.0";"754.2";"754.8";"";"90";"Wind blowing from the south-west";"2";"";"";"50%.";" ";"";"";"19.4";"26.1";"";"";"1500-2000";"";"";"16.0";"18.3";"Trace of precipitation";"6";"";"";"";"";
"08.08.2019 13:00";"29.4";"753.7";"754.3";"";"51";"Wind blowing from the west-southwest";"5";"";"";"20–30%.";" ";"";"";"20.6";"29.4";"";"";"1000-1500";"";"";"16.0";"18.3";"";"";"";"";"";"";
"08.08.2019 07:00";"22.2";"755.2";"755.8";"";"87";"Wind blowing from the south-west";"3";"";"";"70 – 80%.";" ";"";"";"20.0";"";"";"";"300-600";"";"";"16.0";"20.0";"";"";"";"";"";"";
"08.08.2019 01:00";"20.6";"755.2";"755.8";"";"93";"Wind blowing from the south-southwest";"4";"";"";"100%.";" ";"";"";"20.6";"23.9";"";"";"100-200";"";"";"16.0";"19.4";"4.0";"6";"";"";"";"";
"07.08.2019 19:00";"21.7";"756.3";"756.9";"";"94";"Wind blowing from the east-southeast";"3";"";"";"100%.";" ";"";"";"20.6";"28.9";"";"";"100-200";"";"";"12.0";"20.6";"35.0";"6";"";"";"";"";
"07.08.2019 13:00";"26.1";"755.8";"756.4";"";"77";"Wind blowing from the south-southeast";"6";"10";"";"70 – 80%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"";"";"23.3";"28.9";"";"";"200-300";"";"";"11.0";"21.7";"Trace of precipitation";"6";"";"";"";"";
"07.08.2019 07:00";"23.3";"757.0";"757.7";"";"91";"Wind blowing from the south-southeast";"3";"";"";"70 – 80%.";" ";"";"";"22.8";"27.8";"";"";"300-600";"";"";"14.0";"21.7";"0.3";"6";"";"";"";"";
"07.08.2019 01:00";"23.3";"757.3";"757.8";"";"88";"Wind blowing from the south";"2";"";"";"70 – 80%.";" ";"";"";"22.2";"25.6";"";"";"2000-2500";"";"";"16.0";"21.1";"";"";"";"";"";"";
"06.08.2019 19:00";"25.6";"756.7";"757.4";"";"71";"Wind blowing from the south-east";"3";"";"";"70 – 80%.";" ";"";"";"22.2";"27.8";"";"";"600-1000";"";"";"16.0";"20.0";"";"";"";"";"";"";
"06.08.2019 13:00";"25.0";"758.0";"758.5";"";"82";"Wind blowing from the south-east";"3";"";"";"70 – 80%.";" ";"";"";"22.8";"26.1";"";"";"300-600";"";"";"16.0";"21.7";"8.0";"6";"";"";"";"";
"06.08.2019 07:00";"22.8";"758.8";"759.3";"";"87";"Wind blowing from the north";"4";"";"";"70 – 80%.";" ";"";"";"22.2";"27.2";"";"";"300-600";"";"";"14.0";"20.6";"";"";"";"";"";"";
"06.08.2019 01:00";"23.9";"759.3";"759.8";"";"88";"Wind blowing from the south-east";"2";"";"";"70 – 80%.";" ";"";"";"21.7";"27.2";"";"";"300-600";"";"";"16.0";"21.7";"";"";"";"";"";"";
"05.08.2019 19:00";"24.4";"759.8";"760.5";"";"77";"Wind blowing from the south";"2";"";"";"70 – 80%.";" ";"";"";"21.7";"27.2";"";"";"2500 or more, or no clouds.";"";"";"16.0";"20.0";"";"";"";"";"";"";
"05.08.2019 13:00";"27.2";"760.8";"761.4";"";"49";"Wind blowing from the south";"4";"";"";"70 – 80%.";" ";"";"";"21.1";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"15.6";"";"";"";"";"";"";
